"geoid","geolevel","year","level","value"
"04001","county",2019,"transportation_score",100.9
"04003","county",2019,"transportation_score",95.77
"04005","county",2019,"transportation_score",103.72
"04007","county",2019,"transportation_score",95.42
"04009","county",2019,"transportation_score",94.51
"04011","county",2019,"transportation_score",84.77
"04012","county",2019,"transportation_score",100.73
"04013","county",2019,"transportation_score",109.55
"04015","county",2019,"transportation_score",97.22
"04017","county",2019,"transportation_score",104.17
"04019","county",2019,"transportation_score",107.23
"04021","county",2019,"transportation_score",97.36
"04023","county",2019,"transportation_score",92.66
"04025","county",2019,"transportation_score",97
"04027","county",2019,"transportation_score",98.11
"04001","county",2019,"transportation_rnk",74.3286
"04003","county",2019,"transportation_rnk",45.5243
"04005","county",2019,"transportation_rnk",83.6317
"04007","county",2019,"transportation_rnk",42.679
"04009","county",2019,"transportation_rnk",35.8696
"04011","county",2019,"transportation_rnk",0.2238
"04012","county",2019,"transportation_rnk",73.5294
"04013","county",2019,"transportation_rnk",91.4642
"04015","county",2019,"transportation_rnk",55.211
"04017","county",2019,"transportation_rnk",84.7187
"04019","county",2019,"transportation_rnk",89.7698
"04021","county",2019,"transportation_rnk",56.202
"04023","county",2019,"transportation_rnk",21.7072
"04025","county",2019,"transportation_rnk",53.5166
"04027","county",2019,"transportation_rnk",60.9015
"04001","county",2019,"transportation_state_rnk",71.4286
"04003","county",2019,"transportation_state_rnk",28.5714
"04005","county",2019,"transportation_state_rnk",78.5714
"04007","county",2019,"transportation_state_rnk",21.4286
"04009","county",2019,"transportation_state_rnk",14.2857
"04011","county",2019,"transportation_state_rnk",0
"04012","county",2019,"transportation_state_rnk",64.2857
"04013","county",2019,"transportation_state_rnk",100
"04015","county",2019,"transportation_state_rnk",42.8571
"04017","county",2019,"transportation_state_rnk",85.7143
"04019","county",2019,"transportation_state_rnk",92.8571
"04021","county",2019,"transportation_state_rnk",50
"04023","county",2019,"transportation_state_rnk",7.1429
"04025","county",2019,"transportation_state_rnk",35.7143
"04027","county",2019,"transportation_state_rnk",57.1429
