"geoid","geolevel","year","level","value"
"13001","county",2019,"transportation_score",95.3
"13003","county",2019,"transportation_score",95.82
"13005","county",2019,"transportation_score",93.66
"13007","county",2019,"transportation_score",92.95
"13009","county",2019,"transportation_score",101.02
"13011","county",2019,"transportation_score",91.58
"13013","county",2019,"transportation_score",101.34
"13015","county",2019,"transportation_score",93.58
"13017","county",2019,"transportation_score",102.41
"13019","county",2019,"transportation_score",96.6
"13021","county",2019,"transportation_score",112.1
"13023","county",2019,"transportation_score",97.33
"13025","county",2019,"transportation_score",89.74
"13027","county",2019,"transportation_score",101.59
"13029","county",2019,"transportation_score",96.66
"13031","county",2019,"transportation_score",97.85
"13033","county",2019,"transportation_score",97.62
"13035","county",2019,"transportation_score",90.91
"13037","county",2019,"transportation_score",96.59
"13039","county",2019,"transportation_score",95.93
"13043","county",2019,"transportation_score",99.68
"13045","county",2019,"transportation_score",102.61
"13047","county",2019,"transportation_score",103.59
"13049","county",2019,"transportation_score",92.91
"13051","county",2019,"transportation_score",108.12
"13053","county",2019,"transportation_score",126.65
"13055","county",2019,"transportation_score",97.66
"13057","county",2019,"transportation_score",103.25
"13059","county",2019,"transportation_score",118.88
"13061","county",2019,"transportation_score",101.21
"13063","county",2019,"transportation_score",115.01
"13065","county",2019,"transportation_score",96.82
"13067","county",2019,"transportation_score",106.54
"13069","county",2019,"transportation_score",96.55
"13071","county",2019,"transportation_score",100.29
"13073","county",2019,"transportation_score",90.84
"13075","county",2019,"transportation_score",97.22
"13077","county",2019,"transportation_score",102.12
"13079","county",2019,"transportation_score",90.86
"13081","county",2019,"transportation_score",104.96
"13083","county",2019,"transportation_score",97.85
"13085","county",2019,"transportation_score",94.18
"13087","county",2019,"transportation_score",99.09
"13089","county",2019,"transportation_score",127.48
"13091","county",2019,"transportation_score",102.85
"13093","county",2019,"transportation_score",99.77
"13095","county",2019,"transportation_score",116.02
"13097","county",2019,"transportation_score",103.31
"13099","county",2019,"transportation_score",98.84
"13101","county",2019,"transportation_score",91.36
"13103","county",2019,"transportation_score",90.02
"13105","county",2019,"transportation_score",101.31
"13107","county",2019,"transportation_score",101.76
"13109","county",2019,"transportation_score",94.97
"13111","county",2019,"transportation_score",93.45
"13113","county",2019,"transportation_score",102.37
