"geoid","geolevel","year","level","value"
"30001","county",2019,"transportation_score",97.87
"30003","county",2019,"transportation_score",95.54
"30005","county",2019,"transportation_score",99.15
"30007","county",2019,"transportation_score",88.95
"30009","county",2019,"transportation_score",97.34
"30011","county",2019,"transportation_score",101.72
"30013","county",2019,"transportation_score",101.44
"30015","county",2019,"transportation_score",102.68
"30017","county",2019,"transportation_score",101.24
"30019","county",2019,"transportation_score",98.33
"30021","county",2019,"transportation_score",99.47
"30023","county",2019,"transportation_score",95.77
"30025","county",2019,"transportation_score",89.12
"30027","county",2019,"transportation_score",99.65
"30029","county",2019,"transportation_score",97.24
"30031","county",2019,"transportation_score",96.5
"30033","county",2019,"transportation_score",102.85
"30035","county",2019,"transportation_score",104.83
"30037","county",2019,"transportation_score",107.95
"30039","county",2019,"transportation_score",104.75
"30041","county",2019,"transportation_score",97.7
"30043","county",2019,"transportation_score",90.12
"30045","county",2019,"transportation_score",107.18
"30047","county",2019,"transportation_score",95.46
"30049","county",2019,"transportation_score",99.18
"30051","county",2019,"transportation_score",131.98
"30053","county",2019,"transportation_score",100.29
"30055","county",2019,"transportation_score",90.23
"30057","county",2019,"transportation_score",102.31
"30059","county",2019,"transportation_score",98.33
"30061","county",2019,"transportation_score",97.41
"30063","county",2019,"transportation_score",106.95
"30065","county",2019,"transportation_score",102.42
"30067","county",2019,"transportation_score",104.7
"30069","county",2019,"transportation_score",102.78
"30071","county",2019,"transportation_score",93.74
"30073","county",2019,"transportation_score",98.33
"30075","county",2019,"transportation_score",92.54
"30077","county",2019,"transportation_score",95.6
"30079","county",2019,"transportation_score",101.3
"30081","county",2019,"transportation_score",101.56
"30083","county",2019,"transportation_score",105.13
"30085","county",2019,"transportation_score",98.88
"30087","county",2019,"transportation_score",95.87
"30089","county",2019,"transportation_score",99.62
"30091","county",2019,"transportation_score",96.44
"30093","county",2019,"transportation_score",99.83
"30095","county",2019,"transportation_score",100.38
"30097","county",2019,"transportation_score",105.1
"30099","county",2019,"transportation_score",97.94
"30101","county",2019,"transportation_score",111.1
"30103","county",2019,"transportation_score",93.81
"30105","county",2019,"transportation_score",92.73
"30107","county",2019,"transportation_score",123.3
"30109","county",2019,"transportation_score",94.53
"30111","county",2019,"transportation_score",97.38
"30001","county",2019,"transportation_rnk",59.2391
"30003","county",2019,"transportation_rnk",43.5102
"30005","county",2019,"transportation_rnk",66.5281
"30007","county",2019,"transportation_rnk",3.0371
"30009","county",2019,"transportation_rnk",56.1381
"30011","county",2019,"transportation_rnk",77.7494
"30013","county",2019,"transportation_rnk",76.5665
"30015","county",2019,"transportation_rnk",80.8504
"30017","county",2019,"transportation_rnk",75.8312
"30019","county",2019,"transportation_rnk",61.8926
"30021","county",2019,"transportation_rnk",67.8389
"30023","county",2019,"transportation_rnk",45.5243
"30025","county",2019,"transportation_rnk",3.5166
"30027","county",2019,"transportation_rnk",68.5422
"30029","county",2019,"transportation_rnk",55.4348
"30031","county",2019,"transportation_rnk",50.7033
"30033","county",2019,"transportation_rnk",81.3619
"30035","county",2019,"transportation_rnk",85.8696
"30037","county",2019,"transportation_rnk",90.2494
"30039","county",2019,"transportation_rnk",85.7097
"30041","county",2019,"transportation_rnk",58.5038
"30043","county",2019,"transportation_rnk",6.6816
"30045","county",2019,"transportation_rnk",89.6739
"30047","county",2019,"transportation_rnk",42.9668
"30049","county",2019,"transportation_rnk",66.7839
"30051","county",2019,"transportation_rnk",97.5384
"30053","county",2019,"transportation_rnk",71.5153
"30055","county",2019,"transportation_rnk",7.1611
"30057","county",2019,"transportation_rnk",79.7954
"30059","county",2019,"transportation_rnk",61.8926
"30061","county",2019,"transportation_rnk",56.4898
"30063","county",2019,"transportation_rnk",89.3223
"30065","county",2019,"transportation_rnk",80.211
"30067","county",2019,"transportation_rnk",85.5818
"30069","county",2019,"transportation_rnk",81.202
"30071","county",2019,"transportation_rnk",29.7954
"30073","county",2019,"transportation_rnk",61.8926
"30075","county",2019,"transportation_rnk",20.5882
"30077","county",2019,"transportation_rnk",44.0537
"30079","county",2019,"transportation_rnk",76.023
"30081","county",2019,"transportation_rnk",77.1739
"30083","county",2019,"transportation_rnk",86.5729
"30085","county",2019,"transportation_rnk",65.3133
"30087","county",2019,"transportation_rnk",46.2916
"30089","county",2019,"transportation_rnk",68.4783
"30091","county",2019,"transportation_rnk",50.4476
"30093","county",2019,"transportation_rnk",69.6292
"30095","county",2019,"transportation_rnk",72.0588
"30097","county",2019,"transportation_rnk",86.445
"30099","county",2019,"transportation_rnk",59.6867
"30101","county",2019,"transportation_rnk",92.743
"30103","county",2019,"transportation_rnk",30.4987
"30105","county",2019,"transportation_rnk",22.3785
"30107","county",2019,"transportation_rnk",96.6113
"30109","county",2019,"transportation_rnk",36.0294
"30111","county",2019,"transportation_rnk",56.3299
"30001","county",2019,"transportation_state_rnk",38.1818
"30003","county",2019,"transportation_state_rnk",18.1818
"30005","county",2019,"transportation_state_rnk",49.0909
"30007","county",2019,"transportation_state_rnk",0
"30009","county",2019,"transportation_state_rnk",30.9091
"30011","county",2019,"transportation_state_rnk",70.9091
"30013","county",2019,"transportation_state_rnk",67.2727
"30015","county",2019,"transportation_state_rnk",76.3636
"30017","county",2019,"transportation_state_rnk",63.6364
"30019","county",2019,"transportation_state_rnk",43.6364
"30021","county",2019,"transportation_state_rnk",52.7273
"30023","county",2019,"transportation_state_rnk",21.8182
"30025","county",2019,"transportation_state_rnk",1.8182
"30027","county",2019,"transportation_state_rnk",56.3636
"30029","county",2019,"transportation_state_rnk",29.0909
"30031","county",2019,"transportation_state_rnk",27.2727
"30033","county",2019,"transportation_state_rnk",80
"30035","county",2019,"transportation_state_rnk",85.4545
"30037","county",2019,"transportation_state_rnk",94.5455
"30039","county",2019,"transportation_state_rnk",83.6364
"30041","county",2019,"transportation_state_rnk",36.3636
"30043","county",2019,"transportation_state_rnk",3.6364
"30045","county",2019,"transportation_state_rnk",92.7273
"30047","county",2019,"transportation_state_rnk",16.3636
"30049","county",2019,"transportation_state_rnk",50.9091
"30051","county",2019,"transportation_state_rnk",100
"30053","county",2019,"transportation_state_rnk",60
"30055","county",2019,"transportation_state_rnk",5.4545
"30057","county",2019,"transportation_state_rnk",72.7273
"30059","county",2019,"transportation_state_rnk",43.6364
"30061","county",2019,"transportation_state_rnk",34.5455
"30063","county",2019,"transportation_state_rnk",90.9091
"30065","county",2019,"transportation_state_rnk",74.5455
"30067","county",2019,"transportation_state_rnk",81.8182
"30069","county",2019,"transportation_state_rnk",78.1818
"30071","county",2019,"transportation_state_rnk",10.9091
"30073","county",2019,"transportation_state_rnk",43.6364
"30075","county",2019,"transportation_state_rnk",7.2727
"30077","county",2019,"transportation_state_rnk",20
"30079","county",2019,"transportation_state_rnk",65.4545
"30081","county",2019,"transportation_state_rnk",69.0909
"30083","county",2019,"transportation_state_rnk",89.0909
"30085","county",2019,"transportation_state_rnk",47.2727
"30087","county",2019,"transportation_state_rnk",23.6364
"30089","county",2019,"transportation_state_rnk",54.5455
"30091","county",2019,"transportation_state_rnk",25.4545
"30093","county",2019,"transportation_state_rnk",58.1818
"30095","county",2019,"transportation_state_rnk",61.8182
"30097","county",2019,"transportation_state_rnk",87.2727
"30099","county",2019,"transportation_state_rnk",40
"30101","county",2019,"transportation_state_rnk",96.3636
"30103","county",2019,"transportation_state_rnk",12.7273
"30105","county",2019,"transportation_state_rnk",9.0909
"30107","county",2019,"transportation_state_rnk",98.1818
"30109","county",2019,"transportation_state_rnk",14.5455
"30111","county",2019,"transportation_state_rnk",32.7273
