"geoid","geolevel","year","level","value"
"20001952600","tract",2019,"transportation_score",87.1
"20001952700","tract",2019,"transportation_score",86.92
"20001952800","tract",2019,"transportation_score",92.24
"20001952900","tract",2019,"transportation_score",92.08
"20001953000","tract",2019,"transportation_score",87.51
"20003953600","tract",2019,"transportation_score",93.53
"20003953700","tract",2019,"transportation_score",90.75
"20005081600","tract",2019,"transportation_score",86.88
"20005081700","tract",2019,"transportation_score",94.14
"20005081800","tract",2019,"transportation_score",90.85
"20005081900","tract",2019,"transportation_score",97
"20007968100","tract",2019,"transportation_score",90.43
"20007968200","tract",2019,"transportation_score",91.17
"20009971100","tract",2019,"transportation_score",88.11
"20009971200","tract",2019,"transportation_score",86.84
"20009971300","tract",2019,"transportation_score",88.47
"20009971400","tract",2019,"transportation_score",97.98
"20009971500","tract",2019,"transportation_score",89.66
"20009971600","tract",2019,"transportation_score",97.36
"20009971700","tract",2019,"transportation_score",98.91
"20009971800","tract",2019,"transportation_score",88.56
"20011955600","tract",2019,"transportation_score",93.18
"20011955700","tract",2019,"transportation_score",89.96
"20011955800","tract",2019,"transportation_score",89.21
"20011955900","tract",2019,"transportation_score",89.04
"20011956000","tract",2019,"transportation_score",93.87
"20013480600","tract",2019,"transportation_score",91.84
"20013480700","tract",2019,"transportation_score",94.15
"20013480800","tract",2019,"transportation_score",90.35
"20015020100","tract",2019,"transportation_score",90.13
"20015020201","tract",2019,"transportation_score",88.85
"20015020202","tract",2019,"transportation_score",94.57
"20015020203","tract",2019,"transportation_score",87.49
"20015020300","tract",2019,"transportation_score",87.04
"20015020400","tract",2019,"transportation_score",92.04
"20015020500","tract",2019,"transportation_score",89.11
"20015020600","tract",2019,"transportation_score",87.81
"20015020700","tract",2019,"transportation_score",89.18
"20015020800","tract",2019,"transportation_score",94.17
"20015020901","tract",2019,"transportation_score",86.09
"20015020902","tract",2019,"transportation_score",87.02
"20015020903","tract",2019,"transportation_score",90.97
"20017960600","tract",2019,"transportation_score",90.54
"20019964600","tract",2019,"transportation_score",92.86
"20021958100","tract",2019,"transportation_score",90.71
"20021958200","tract",2019,"transportation_score",90.37
"20021958300","tract",2019,"transportation_score",89.56
"20021958400","tract",2019,"transportation_score",89
"20021958500","tract",2019,"transportation_score",91.74
"20021958600","tract",2019,"transportation_score",90.21
"20023950200","tract",2019,"transportation_score",90.69
"20025967100","tract",2019,"transportation_score",91.02
"20027458100","tract",2019,"transportation_score",88.12
"20027458200","tract",2019,"transportation_score",89.2
"20029977100","tract",2019,"transportation_score",88.83
"20029977200","tract",2019,"transportation_score",94.57
"20029977300","tract",2019,"transportation_score",95.1
"20029977400","tract",2019,"transportation_score",88.98
"20031966100","tract",2019,"transportation_score",87.8
"20031966200","tract",2019,"transportation_score",88.33
"20031966300","tract",2019,"transportation_score",90.77
"20033967600","tract",2019,"transportation_score",87.6
"20035493100","tract",2019,"transportation_score",90.55
"20035493200","tract",2019,"transportation_score",87.29
"20035493300","tract",2019,"transportation_score",85.42
"20035493400","tract",2019,"transportation_score",91.12
"20035493500","tract",2019,"transportation_score",96.49
"20035493600","tract",2019,"transportation_score",97.64
"20035493700","tract",2019,"transportation_score",93.49
"20035493800","tract",2019,"transportation_score",88.93
"20035493900","tract",2019,"transportation_score",87.63
"20035494000","tract",2019,"transportation_score",94.48
"20035494100","tract",2019,"transportation_score",89.08
"20037956600","tract",2019,"transportation_score",87.75
"20037956700","tract",2019,"transportation_score",88.74
"20037956800","tract",2019,"transportation_score",94.01
"20037956900","tract",2019,"transportation_score",88.01
"20037957000","tract",2019,"transportation_score",89.53
"20037957100","tract",2019,"transportation_score",94.7
"20037957200","tract",2019,"transportation_score",89.21
"20037957300","tract",2019,"transportation_score",89.34
"20037957400","tract",2019,"transportation_score",86.77
"20037957500","tract",2019,"transportation_score",94.33
"20037957600","tract",2019,"transportation_score",90.29
"20039951100","tract",2019,"transportation_score",92.54
"20039951200","tract",2019,"transportation_score",89.37
"20041084100","tract",2019,"transportation_score",88.17
"20041084200","tract",2019,"transportation_score",89.93
"20041084300","tract",2019,"transportation_score",92.75
"20041084400","tract",2019,"transportation_score",93.06
"20041084500","tract",2019,"transportation_score",88.49
"20041084600","tract",2019,"transportation_score",92.17
"20043020100","tract",2019,"transportation_score",92.84
"20043020200","tract",2019,"transportation_score",88.99
"20043020300","tract",2019,"transportation_score",89.39
"20045000100","tract",2019,"transportation_score",95.56
"20045000200","tract",2019,"transportation_score",101.42
"20045000300","tract",2019,"transportation_score",103.49
"20045000400","tract",2019,"transportation_score",NA
"20045000501","tract",2019,"transportation_score",94.2
"20045000502","tract",2019,"transportation_score",98.24
"20045000603","tract",2019,"transportation_score",89.53
"20045000604","tract",2019,"transportation_score",92.65
"20045000702","tract",2019,"transportation_score",92.24
"20045000797","tract",2019,"transportation_score",91.39
"20045000801","tract",2019,"transportation_score",89.98
"20045000802","tract",2019,"transportation_score",95.12
"20045000901","tract",2019,"transportation_score",102.81
"20045000902","tract",2019,"transportation_score",92.98
"20045001001","tract",2019,"transportation_score",97.67
"20045001002","tract",2019,"transportation_score",91.95
"20045001201","tract",2019,"transportation_score",87.09
"20045001202","tract",2019,"transportation_score",86.83
"20045001203","tract",2019,"transportation_score",91.95
"20045001400","tract",2019,"transportation_score",85.94
"20045001500","tract",2019,"transportation_score",86.87
"20045001600","tract",2019,"transportation_score",91.21
"20047969600","tract",2019,"transportation_score",86.89
"20047969700","tract",2019,"transportation_score",90.55
"20049965100","tract",2019,"transportation_score",94.14
