"geoid","geolevel","year","level","value"
"27001770100","tract",2019,"transportation_score",91.05
"27001770200","tract",2019,"transportation_score",90.73
"27001770300","tract",2019,"transportation_score",92.93
"27001770400","tract",2019,"transportation_score",91.51
"27001790501","tract",2019,"transportation_score",91.96
"27001790502","tract",2019,"transportation_score",90.88
"27003050107","tract",2019,"transportation_score",88.74
"27003050108","tract",2019,"transportation_score",90.39
"27003050109","tract",2019,"transportation_score",88.73
"27003050110","tract",2019,"transportation_score",86.79
"27003050111","tract",2019,"transportation_score",87.76
"27003050114","tract",2019,"transportation_score",88.1
"27003050115","tract",2019,"transportation_score",92.3
"27003050116","tract",2019,"transportation_score",87.21
"27003050208","tract",2019,"transportation_score",87.99
"27003050210","tract",2019,"transportation_score",88.24
"27003050215","tract",2019,"transportation_score",88.33
"27003050216","tract",2019,"transportation_score",89.04
"27003050217","tract",2019,"transportation_score",87.63
"27003050218","tract",2019,"transportation_score",91.37
"27003050219","tract",2019,"transportation_score",88.38
"27003050220","tract",2019,"transportation_score",93.07
"27003050221","tract",2019,"transportation_score",93.59
"27003050222","tract",2019,"transportation_score",93.35
"27003050223","tract",2019,"transportation_score",90.95
"27003050224","tract",2019,"transportation_score",90.27
"27003050225","tract",2019,"transportation_score",89.44
"27003050226","tract",2019,"transportation_score",90.11
"27003050227","tract",2019,"transportation_score",91.28
"27003050228","tract",2019,"transportation_score",89.91
"27003050229","tract",2019,"transportation_score",93.31
"27003050230","tract",2019,"transportation_score",87.78
"27003050232","tract",2019,"transportation_score",92.55
"27003050233","tract",2019,"transportation_score",89.51
"27003050234","tract",2019,"transportation_score",88.92
"27003050235","tract",2019,"transportation_score",88.61
"27003050236","tract",2019,"transportation_score",89.3
"27003050237","tract",2019,"transportation_score",91.86
"27003050401","tract",2019,"transportation_score",95.18
"27003050402","tract",2019,"transportation_score",98.58
"27003050501","tract",2019,"transportation_score",99.69
"27003050504","tract",2019,"transportation_score",92.8
"27003050505","tract",2019,"transportation_score",94.64
"27003050602","tract",2019,"transportation_score",93.25
"27003050605","tract",2019,"transportation_score",93.93
"27003050606","tract",2019,"transportation_score",95.98
"27003050607","tract",2019,"transportation_score",95.88
"27003050608","tract",2019,"transportation_score",94.97
"27003050609","tract",2019,"transportation_score",91.39
"27003050610","tract",2019,"transportation_score",95.69
"27003050702","tract",2019,"transportation_score",91.61
"27003050704","tract",2019,"transportation_score",93.38
"27003050706","tract",2019,"transportation_score",94.04
"27003050707","tract",2019,"transportation_score",91.54
"27003050709","tract",2019,"transportation_score",91.13
"27003050710","tract",2019,"transportation_score",95.98
"27003050711","tract",2019,"transportation_score",92.04
"27003050712","tract",2019,"transportation_score",97.33
"27003050805","tract",2019,"transportation_score",92.04
"27003050806","tract",2019,"transportation_score",94.19
"27003050807","tract",2019,"transportation_score",96.15
"27003050808","tract",2019,"transportation_score",93.89
"27003050809","tract",2019,"transportation_score",92.27
"27003050810","tract",2019,"transportation_score",95.64
"27003050811","tract",2019,"transportation_score",92.41
"27003050813","tract",2019,"transportation_score",92.97
"27003050816","tract",2019,"transportation_score",91.95
"27003050818","tract",2019,"transportation_score",93.85
"27003050819","tract",2019,"transportation_score",93.9
"27003050820","tract",2019,"transportation_score",91.91
"27003050821","tract",2019,"transportation_score",94.99
"27003050901","tract",2019,"transportation_score",98.03
"27003050902","tract",2019,"transportation_score",92.31
"27003051001","tract",2019,"transportation_score",91.34
"27003051002","tract",2019,"transportation_score",95.03
"27003051101","tract",2019,"transportation_score",95.08
"27003051102","tract",2019,"transportation_score",97.93
"27003051103","tract",2019,"transportation_score",97.42
"27003051201","tract",2019,"transportation_score",98.38
"27003051202","tract",2019,"transportation_score",98.03
"27003051203","tract",2019,"transportation_score",95.82
"27003051206","tract",2019,"transportation_score",98.2
"27003051302","tract",2019,"transportation_score",98.61
"27003051304","tract",2019,"transportation_score",95.87
"27003051305","tract",2019,"transportation_score",102.25
"27003051400","tract",2019,"transportation_score",95.22
"27003051501","tract",2019,"transportation_score",107.72
"27003051502","tract",2019,"transportation_score",99.15
"27003051600","tract",2019,"transportation_score",87.89
"27005450100","tract",2019,"transportation_score",89.42
"27005450200","tract",2019,"transportation_score",91.42
"27005450300","tract",2019,"transportation_score",87.4
"27005450400","tract",2019,"transportation_score",89.64
"27005450500","tract",2019,"transportation_score",95.16
"27005450600","tract",2019,"transportation_score",101.31
"27005450700","tract",2019,"transportation_score",88.09
"27005450800","tract",2019,"transportation_score",88.72
"27005450900","tract",2019,"transportation_score",89.04
"27005940000","tract",2019,"transportation_score",91.88
"27007450100","tract",2019,"transportation_score",89.79
"27007450200","tract",2019,"transportation_score",91.43
"27007450300","tract",2019,"transportation_score",89.11
"27007450400","tract",2019,"transportation_score",92.51
"27007450500","tract",2019,"transportation_score",93.24
"27007450600","tract",2019,"transportation_score",96.87
"27007450701","tract",2019,"transportation_score",94.94
"27007450702","tract",2019,"transportation_score",96.26
"27007940001","tract",2019,"transportation_score",99.52
"27007940002","tract",2019,"transportation_score",93.04
"27009020100","tract",2019,"transportation_score",89.95
"27009020202","tract",2019,"transportation_score",90.13
"27009020203","tract",2019,"transportation_score",89.03
"27009020205","tract",2019,"transportation_score",86.29
"27009020206","tract",2019,"transportation_score",91.46
"27009020300","tract",2019,"transportation_score",86.81
"27009021101","tract",2019,"transportation_score",96.23
"27009021102","tract",2019,"transportation_score",90.95
"27009021200","tract",2019,"transportation_score",100.32
"27011950100","tract",2019,"transportation_score",92.47
"27011950200","tract",2019,"transportation_score",90.91
"27011950300","tract",2019,"transportation_score",89.79
"27013170100","tract",2019,"transportation_score",87.18
"27013170200","tract",2019,"transportation_score",87.66
"27013170300","tract",2019,"transportation_score",94.91
"27013170400","tract",2019,"transportation_score",97.9
"27013170500","tract",2019,"transportation_score",97.54
"27013170600","tract",2019,"transportation_score",103.7
"27013170700","tract",2019,"transportation_score",104.26
"27013170800","tract",2019,"transportation_score",93.48
"27013170900","tract",2019,"transportation_score",87.33
"27013171000","tract",2019,"transportation_score",88.69
"27013171101","tract",2019,"transportation_score",NA
"27013171202","tract",2019,"transportation_score",101.44
"27013171300","tract",2019,"transportation_score",87
"27013171400","tract",2019,"transportation_score",90.15
"27013171500","tract",2019,"transportation_score",91.05
"27013171600","tract",2019,"transportation_score",95.05
"27015960101","tract",2019,"transportation_score",98.1
"27015960102","tract",2019,"transportation_score",90.24
"27015960200","tract",2019,"transportation_score",95.1
"27015960300","tract",2019,"transportation_score",94.64
"27015960400","tract",2019,"transportation_score",87.39
"27015960500","tract",2019,"transportation_score",89.75
"27015960600","tract",2019,"transportation_score",90.51
"27015960700","tract",2019,"transportation_score",88.12
"27017070100","tract",2019,"transportation_score",88.44
"27017070200","tract",2019,"transportation_score",92.23
"27017070300","tract",2019,"transportation_score",86.97
"27017070400","tract",2019,"transportation_score",88.42
"27017070500","tract",2019,"transportation_score",91.39
"27017070600","tract",2019,"transportation_score",89.84
