"geoid","geolevel","year","level","value"
"33001965100","tract",2019,"transportation_score",93.11
"33001965200","tract",2019,"transportation_score",94.1
"33001965300","tract",2019,"transportation_score",89.65
"33001965400","tract",2019,"transportation_score",90.21
"33001965598","tract",2019,"transportation_score",90.1
"33001965600","tract",2019,"transportation_score",90.01
"33001965700","tract",2019,"transportation_score",89.63
"33001965800","tract",2019,"transportation_score",89.16
"33001965900","tract",2019,"transportation_score",96.12
"33001966000","tract",2019,"transportation_score",94.63
"33001966100","tract",2019,"transportation_score",91.48
"33001966200","tract",2019,"transportation_score",93.84
"33001966401","tract",2019,"transportation_score",90.32
"33001966402","tract",2019,"transportation_score",89.51
"33001966500","tract",2019,"transportation_score",90.66
"33003955100","tract",2019,"transportation_score",91.96
"33003955300","tract",2019,"transportation_score",92.35
"33003955400","tract",2019,"transportation_score",90.45
"33003955500","tract",2019,"transportation_score",90
"33003955600","tract",2019,"transportation_score",91.99
"33003955800","tract",2019,"transportation_score",90.31
"33003955900","tract",2019,"transportation_score",91.18
"33003956000","tract",2019,"transportation_score",91.42
"33003956100","tract",2019,"transportation_score",92.12
"33003956300","tract",2019,"transportation_score",90.42
"33003956400","tract",2019,"transportation_score",90.69
"33005970100","tract",2019,"transportation_score",90.54
"33005970200","tract",2019,"transportation_score",90.78
"33005970400","tract",2019,"transportation_score",91.57
"33005970500","tract",2019,"transportation_score",93.56
"33005970600","tract",2019,"transportation_score",91.47
"33005970700","tract",2019,"transportation_score",90.37
"33005970800","tract",2019,"transportation_score",89.73
"33005970900","tract",2019,"transportation_score",89.4
"33005971000","tract",2019,"transportation_score",94.17
"33005971100","tract",2019,"transportation_score",101.73
"33005971300","tract",2019,"transportation_score",101.44
"33005971401","tract",2019,"transportation_score",NA
"33005971402","tract",2019,"transportation_score",90.4
"33005971500","tract",2019,"transportation_score",90.86
"33005971600","tract",2019,"transportation_score",90.82
"33005971700","tract",2019,"transportation_score",91.12
"33007950100","tract",2019,"transportation_score",90.55
"33007950200","tract",2019,"transportation_score",93.98
"33007950300","tract",2019,"transportation_score",89.25
"33007950400","tract",2019,"transportation_score",94.77
"33007950500","tract",2019,"transportation_score",91.87
"33007950600","tract",2019,"transportation_score",NA
"33007950700","tract",2019,"transportation_score",93.15
"33007950800","tract",2019,"transportation_score",95.77
"33007950900","tract",2019,"transportation_score",90.83
"33007951000","tract",2019,"transportation_score",90.5
"33007951100","tract",2019,"transportation_score",90.99
"33009960100","tract",2019,"transportation_score",92.88
"33009960200","tract",2019,"transportation_score",92.01
"33009960300","tract",2019,"transportation_score",93.07
"33009960400","tract",2019,"transportation_score",92.24
"33009960500","tract",2019,"transportation_score",93.76
"33009960600","tract",2019,"transportation_score",93.6
"33009960700","tract",2019,"transportation_score",93.63
"33009960800","tract",2019,"transportation_score",93.18
"33009960900","tract",2019,"transportation_score",91.9
"33009961000","tract",2019,"transportation_score",103.97
"33009961100","tract",2019,"transportation_score",94.73
"33009961200","tract",2019,"transportation_score",92.25
"33009961300","tract",2019,"transportation_score",90.71
"33009961400","tract",2019,"transportation_score",92.39
"33009961500","tract",2019,"transportation_score",91.03
"33009961601","tract",2019,"transportation_score",88.41
"33009961602","tract",2019,"transportation_score",NA
"33009961700","tract",2019,"transportation_score",92.54
"33009961800","tract",2019,"transportation_score",94.78
"33011000101","tract",2019,"transportation_score",102.11
"33011000102","tract",2019,"transportation_score",90.69
"33011000202","tract",2019,"transportation_score",101.11
"33011000203","tract",2019,"transportation_score",92.02
"33011000204","tract",2019,"transportation_score",101.74
"33011000300","tract",2019,"transportation_score",107.3
"33011000600","tract",2019,"transportation_score",115.41
