"geoid","geolevel","year","level","value"
"99501","zcta",2019,"transportation_score",100.87
"99502","zcta",2019,"transportation_score",93.71
"99503","zcta",2019,"transportation_score",101.67
"99504","zcta",2019,"transportation_score",96.37
"99505","zcta",2019,"transportation_score",99.22
"99506","zcta",2019,"transportation_score",93.54
"99507","zcta",2019,"transportation_score",93.73
"99508","zcta",2019,"transportation_score",96.65
"99510","zcta",2019,"transportation_score",NA
"99513","zcta",2019,"transportation_score",NA
"99515","zcta",2019,"transportation_score",93.18
"99516","zcta",2019,"transportation_score",92.45
"99517","zcta",2019,"transportation_score",94.71
"99518","zcta",2019,"transportation_score",94.54
"99519","zcta",2019,"transportation_score",NA
"99540","zcta",2019,"transportation_score",92.36
"99546","zcta",2019,"transportation_score",117
"99547","zcta",2019,"transportation_score",NA
"99548","zcta",2019,"transportation_score",NA
"99549","zcta",2019,"transportation_score",NA
"99550","zcta",2019,"transportation_score",102.84
"99551","zcta",2019,"transportation_score",129.36
"99552","zcta",2019,"transportation_score",132.12
"99553","zcta",2019,"transportation_score",NA
"99554","zcta",2019,"transportation_score",145.22
"99555","zcta",2019,"transportation_score",113.25
"99556","zcta",2019,"transportation_score",98.07
"99557","zcta",2019,"transportation_score",125.37
"99558","zcta",2019,"transportation_score",128.11
"99559","zcta",2019,"transportation_score",114.67
"99561","zcta",2019,"transportation_score",156.49
"99563","zcta",2019,"transportation_score",152.77
"99564","zcta",2019,"transportation_score",NA
"99565","zcta",2019,"transportation_score",NA
"99566","zcta",2019,"transportation_score",NA
"99567","zcta",2019,"transportation_score",91.94
"99568","zcta",2019,"transportation_score",89.92
"99569","zcta",2019,"transportation_score",NA
"99571","zcta",2019,"transportation_score",104.06
"99572","zcta",2019,"transportation_score",106.51
"99573","zcta",2019,"transportation_score",103.94
"99574","zcta",2019,"transportation_score",101.3
"99575","zcta",2019,"transportation_score",NA
"99576","zcta",2019,"transportation_score",106.67
"99577","zcta",2019,"transportation_score",92.75
"99578","zcta",2019,"transportation_score",148.78
"99579","zcta",2019,"transportation_score",NA
"99580","zcta",2019,"transportation_score",NA
"99581","zcta",2019,"transportation_score",139.06
"99583","zcta",2019,"transportation_score",NA
"99585","zcta",2019,"transportation_score",145.18
"99586","zcta",2019,"transportation_score",108.58
"99587","zcta",2019,"transportation_score",97.4
"99588","zcta",2019,"transportation_score",101.11
"99589","zcta",2019,"transportation_score",134.11
"99590","zcta",2019,"transportation_score",147.54
"99591","zcta",2019,"transportation_score",NA
"99602","zcta",2019,"transportation_score",137.04
"99603","zcta",2019,"transportation_score",98.5
"99604","zcta",2019,"transportation_score",153.23
"99605","zcta",2019,"transportation_score",95.1
"99606","zcta",2019,"transportation_score",122.97
"99607","zcta",2019,"transportation_score",127.96
"99609","zcta",2019,"transportation_score",143.94
"99610","zcta",2019,"transportation_score",95.22
"99611","zcta",2019,"transportation_score",95.13
"99612","zcta",2019,"transportation_score",118.78
"99613","zcta",2019,"transportation_score",107.57
"99614","zcta",2019,"transportation_score",151.78
"99615","zcta",2019,"transportation_score",98.93
"99620","zcta",2019,"transportation_score",157.46
"99621","zcta",2019,"transportation_score",147.11
"99622","zcta",2019,"transportation_score",148.99
"99624","zcta",2019,"transportation_score",NA
"99625","zcta",2019,"transportation_score",NA
"99626","zcta",2019,"transportation_score",144.96
"99627","zcta",2019,"transportation_score",117.01
"99628","zcta",2019,"transportation_score",142.65
"99630","zcta",2019,"transportation_score",134.88
"99631","zcta",2019,"transportation_score",100.07
"99632","zcta",2019,"transportation_score",144.09
"99633","zcta",2019,"transportation_score",102.19
"99634","zcta",2019,"transportation_score",141.28
"99636","zcta",2019,"transportation_score",154.28
"99637","zcta",2019,"transportation_score",146.86
"99638","zcta",2019,"transportation_score",NA
"99639","zcta",2019,"transportation_score",104.12
"99640","zcta",2019,"transportation_score",130.18
"99641","zcta",2019,"transportation_score",154.07
"99643","zcta",2019,"transportation_score",115.43
"99644","zcta",2019,"transportation_score",119.73
"99645","zcta",2019,"transportation_score",94.24
"99647","zcta",2019,"transportation_score",NA
"99648","zcta",2019,"transportation_score",NA
"99649","zcta",2019,"transportation_score",117.3
"99650","zcta",2019,"transportation_score",146.65
"99651","zcta",2019,"transportation_score",NA
"99652","zcta",2019,"transportation_score",92.84
"99653","zcta",2019,"transportation_score",132.56
"99654","zcta",2019,"transportation_score",94.32
"99655","zcta",2019,"transportation_score",141.92
"99656","zcta",2019,"transportation_score",NA
"99657","zcta",2019,"transportation_score",142.55
"99658","zcta",2019,"transportation_score",135.83
"99659","zcta",2019,"transportation_score",148.53
"99660","zcta",2019,"transportation_score",117.2
"99661","zcta",2019,"transportation_score",109.71
"99662","zcta",2019,"transportation_score",151.58
"99663","zcta",2019,"transportation_score",100.3
