"geoid","geolevel","year","level","value"
"19701","zcta",2019,"transportation_score",94.72
"19702","zcta",2019,"transportation_score",93.35
"19703","zcta",2019,"transportation_score",98.91
"19706","zcta",2019,"transportation_score",91.55
"19707","zcta",2019,"transportation_score",92.4
"19709","zcta",2019,"transportation_score",91.41
"19710","zcta",2019,"transportation_score",NA
"19711","zcta",2019,"transportation_score",95.93
"19713","zcta",2019,"transportation_score",93.69
"19716","zcta",2019,"transportation_score",NA
"19717","zcta",2019,"transportation_score",NA
"19720","zcta",2019,"transportation_score",95.03
"19730","zcta",2019,"transportation_score",89.57
"19731","zcta",2019,"transportation_score",92.18
"19732","zcta",2019,"transportation_score",NA
"19733","zcta",2019,"transportation_score",NA
"19734","zcta",2019,"transportation_score",92.79
"19735","zcta",2019,"transportation_score",NA
"19736","zcta",2019,"transportation_score",NA
"19801","zcta",2019,"transportation_score",121.63
"19802","zcta",2019,"transportation_score",109.56
"19803","zcta",2019,"transportation_score",94.85
"19804","zcta",2019,"transportation_score",92.68
"19805","zcta",2019,"transportation_score",100.78
"19806","zcta",2019,"transportation_score",97.11
"19807","zcta",2019,"transportation_score",96.83
"19808","zcta",2019,"transportation_score",92.55
"19809","zcta",2019,"transportation_score",97.81
"19810","zcta",2019,"transportation_score",94.09
"19901","zcta",2019,"transportation_score",95.2
"19902","zcta",2019,"transportation_score",NA
"19904","zcta",2019,"transportation_score",95.92
"19930","zcta",2019,"transportation_score",96.09
"19931","zcta",2019,"transportation_score",95.27
"19933","zcta",2019,"transportation_score",92.04
"19934","zcta",2019,"transportation_score",91.31
"19936","zcta",2019,"transportation_score",92.17
"19938","zcta",2019,"transportation_score",91.77
"19939","zcta",2019,"transportation_score",90.4
"19940","zcta",2019,"transportation_score",91.21
"19941","zcta",2019,"transportation_score",92.11
"19943","zcta",2019,"transportation_score",91.42
"19944","zcta",2019,"transportation_score",93.68
"19945","zcta",2019,"transportation_score",91.72
"19946","zcta",2019,"transportation_score",91.56
"19947","zcta",2019,"transportation_score",92.83
"19950","zcta",2019,"transportation_score",93.88
"19951","zcta",2019,"transportation_score",90.62
"19952","zcta",2019,"transportation_score",91.32
"19953","zcta",2019,"transportation_score",94.07
"19954","zcta",2019,"transportation_score",91.95
"19955","zcta",2019,"transportation_score",NA
"19956","zcta",2019,"transportation_score",92.97
"19958","zcta",2019,"transportation_score",92.29
"19960","zcta",2019,"transportation_score",91.94
"19962","zcta",2019,"transportation_score",91.98
"19963","zcta",2019,"transportation_score",92.82
"19964","zcta",2019,"transportation_score",104.21
"19966","zcta",2019,"transportation_score",91.64
"19967","zcta",2019,"transportation_score",92.04
"19968","zcta",2019,"transportation_score",91.47
"19970","zcta",2019,"transportation_score",93.26
"19971","zcta",2019,"transportation_score",93.46
"19973","zcta",2019,"transportation_score",93.9
"19975","zcta",2019,"transportation_score",92
"19977","zcta",2019,"transportation_score",93.01
"19979","zcta",2019,"transportation_score",90.22
"19701","zcta",2019,"transportation_rnk",57.9112
"19702","zcta",2019,"transportation_rnk",45.3912
"19703","zcta",2019,"transportation_rnk",71.6707
"19706","zcta",2019,"transportation_rnk",22.7851
"19707","zcta",2019,"transportation_rnk",33.9613
"19709","zcta",2019,"transportation_rnk",20.9631
"19710","zcta",2019,"transportation_rnk",NA
"19711","zcta",2019,"transportation_rnk",64.0833
"19713","zcta",2019,"transportation_rnk",49.0971
"19716","zcta",2019,"transportation_rnk",NA
"19717","zcta",2019,"transportation_rnk",NA
"19720","zcta",2019,"transportation_rnk",59.7365
"19730","zcta",2019,"transportation_rnk",6.042
"19731","zcta",2019,"transportation_rnk",31.0265
"19732","zcta",2019,"transportation_rnk",NA
"19733","zcta",2019,"transportation_rnk",NA
"19734","zcta",2019,"transportation_rnk",38.7897
"19735","zcta",2019,"transportation_rnk",NA
"19736","zcta",2019,"transportation_rnk",NA
"19801","zcta",2019,"transportation_rnk",94.0817
"19802","zcta",2019,"transportation_rnk",86.1005
"19803","zcta",2019,"transportation_rnk",58.6107
"19804","zcta",2019,"transportation_rnk",37.498
"19805","zcta",2019,"transportation_rnk",74.3127
"19806","zcta",2019,"transportation_rnk",68.0137
"19807","zcta",2019,"transportation_rnk",67.1449
"19808","zcta",2019,"transportation_rnk",35.9265
"19809","zcta",2019,"transportation_rnk",69.7153
"19810","zcta",2019,"transportation_rnk",52.8811
"19901","zcta",2019,"transportation_rnk",60.7093
"19902","zcta",2019,"transportation_rnk",NA
"19904","zcta",2019,"transportation_rnk",64.0377
"19930","zcta",2019,"transportation_rnk",64.7177
"19931","zcta",2019,"transportation_rnk",61.09
"19933","zcta",2019,"transportation_rnk",29.1524
"19934","zcta",2019,"transportation_rnk",19.7657
"19936","zcta",2019,"transportation_rnk",30.8834
"19938","zcta",2019,"transportation_rnk",25.4889
"19939","zcta",2019,"transportation_rnk",10.5612
"19940","zcta",2019,"transportation_rnk",18.5717
"19941","zcta",2019,"transportation_rnk",30.0211
"19943","zcta",2019,"transportation_rnk",21.09
"19944","zcta",2019,"transportation_rnk",48.993
"19945","zcta",2019,"transportation_rnk",24.8967
"19946","zcta",2019,"transportation_rnk",22.951
"19947","zcta",2019,"transportation_rnk",39.2972
"19950","zcta",2019,"transportation_rnk",51.033
"19951","zcta",2019,"transportation_rnk",12.3377
"19952","zcta",2019,"transportation_rnk",19.8926
"19953","zcta",2019,"transportation_rnk",52.7119
"19954","zcta",2019,"transportation_rnk",27.8868
"19955","zcta",2019,"transportation_rnk",NA
"19956","zcta",2019,"transportation_rnk",40.9891
"19958","zcta",2019,"transportation_rnk",32.4288
"19960","zcta",2019,"transportation_rnk",27.7501
"19962","zcta",2019,"transportation_rnk",28.2967
"19963","zcta",2019,"transportation_rnk",39.1541
"19964","zcta",2019,"transportation_rnk",78.4675
"19966","zcta",2019,"transportation_rnk",23.8816
"19967","zcta",2019,"transportation_rnk",29.1524
"19968","zcta",2019,"transportation_rnk",21.7407
"19970","zcta",2019,"transportation_rnk",44.2785
"19971","zcta",2019,"transportation_rnk",46.4942
"19973","zcta",2019,"transportation_rnk",51.2347
"19975","zcta",2019,"transportation_rnk",28.57
"19977","zcta",2019,"transportation_rnk",41.4283
"19979","zcta",2019,"transportation_rnk",9.3021
"19701","zcta",2019,"transportation_state_rnk",73.6842
"19702","zcta",2019,"transportation_state_rnk",59.6491
"19703","zcta",2019,"transportation_state_rnk",92.9825
"19706","zcta",2019,"transportation_state_rnk",17.5439
"19707","zcta",2019,"transportation_state_rnk",43.8596
"19709","zcta",2019,"transportation_state_rnk",12.2807
"19710","zcta",2019,"transportation_state_rnk",NA
"19711","zcta",2019,"transportation_state_rnk",84.2105
"19713","zcta",2019,"transportation_state_rnk",64.9123
"19716","zcta",2019,"transportation_state_rnk",NA
"19717","zcta",2019,"transportation_state_rnk",NA
"19720","zcta",2019,"transportation_state_rnk",77.193
"19730","zcta",2019,"transportation_state_rnk",0
"19731","zcta",2019,"transportation_state_rnk",40.3509
"19732","zcta",2019,"transportation_state_rnk",NA
"19733","zcta",2019,"transportation_state_rnk",NA
"19734","zcta",2019,"transportation_state_rnk",49.1228
"19735","zcta",2019,"transportation_state_rnk",NA
"19736","zcta",2019,"transportation_state_rnk",NA
"19801","zcta",2019,"transportation_state_rnk",100
"19802","zcta",2019,"transportation_state_rnk",98.2456
"19803","zcta",2019,"transportation_state_rnk",75.4386
"19804","zcta",2019,"transportation_state_rnk",47.3684
"19805","zcta",2019,"transportation_state_rnk",94.7368
"19806","zcta",2019,"transportation_state_rnk",89.4737
"19807","zcta",2019,"transportation_state_rnk",87.7193
"19808","zcta",2019,"transportation_state_rnk",45.614
"19809","zcta",2019,"transportation_state_rnk",91.2281
