"geoid","geolevel","year","level","value"
"55001","zcta",2019,"transportation_score",91.57
"55003","zcta",2019,"transportation_score",NA
"55005","zcta",2019,"transportation_score",91.98
"55006","zcta",2019,"transportation_score",92.69
"55007","zcta",2019,"transportation_score",91.66
"55008","zcta",2019,"transportation_score",91.86
"55009","zcta",2019,"transportation_score",92.29
"55011","zcta",2019,"transportation_score",92.28
"55012","zcta",2019,"transportation_score",94.62
"55013","zcta",2019,"transportation_score",94.38
"55014","zcta",2019,"transportation_score",103.35
"55016","zcta",2019,"transportation_score",103.85
"55017","zcta",2019,"transportation_score",92.64
"55018","zcta",2019,"transportation_score",91.7
"55019","zcta",2019,"transportation_score",91.76
"55020","zcta",2019,"transportation_score",93.59
"55021","zcta",2019,"transportation_score",92.9
"55024","zcta",2019,"transportation_score",103.59
"55025","zcta",2019,"transportation_score",92.94
"55026","zcta",2019,"transportation_score",91.96
"55027","zcta",2019,"transportation_score",93.62
"55029","zcta",2019,"transportation_score",NA
"55030","zcta",2019,"transportation_score",91.46
"55031","zcta",2019,"transportation_score",91.65
"55032","zcta",2019,"transportation_score",92.45
"55033","zcta",2019,"transportation_score",92.15
"55036","zcta",2019,"transportation_score",NA
"55037","zcta",2019,"transportation_score",96.3
"55038","zcta",2019,"transportation_score",101.95
"55040","zcta",2019,"transportation_score",91.79
"55041","zcta",2019,"transportation_score",96.34
"55042","zcta",2019,"transportation_score",93.95
"55043","zcta",2019,"transportation_score",91.42
"55044","zcta",2019,"transportation_score",104.71
"55045","zcta",2019,"transportation_score",93.94
"55046","zcta",2019,"transportation_score",92.52
"55047","zcta",2019,"transportation_score",92.27
"55049","zcta",2019,"transportation_score",90.79
"55051","zcta",2019,"transportation_score",110.87
"55052","zcta",2019,"transportation_score",91.02
"55053","zcta",2019,"transportation_score",93.63
"55054","zcta",2019,"transportation_score",90.57
"55055","zcta",2019,"transportation_score",93.37
"55056","zcta",2019,"transportation_score",93.12
"55057","zcta",2019,"transportation_score",97.81
"55060","zcta",2019,"transportation_score",92.56
"55063","zcta",2019,"transportation_score",95.05
