"geoid","geolevel","year","level","value"
"59001","zcta",2019,"transportation_score",96.52
"59002","zcta",2019,"transportation_score",99.96
"59003","zcta",2019,"transportation_score",106.84
"59006","zcta",2019,"transportation_score",90.83
"59007","zcta",2019,"transportation_score",92.9
"59008","zcta",2019,"transportation_score",98.79
"59010","zcta",2019,"transportation_score",91.19
"59011","zcta",2019,"transportation_score",99.59
"59012","zcta",2019,"transportation_score",98.32
"59013","zcta",2019,"transportation_score",87.22
"59014","zcta",2019,"transportation_score",94.86
"59015","zcta",2019,"transportation_score",94.21
"59016","zcta",2019,"transportation_score",96.39
"59018","zcta",2019,"transportation_score",96.18
"59019","zcta",2019,"transportation_score",99.97
"59020","zcta",2019,"transportation_score",NA
"59022","zcta",2019,"transportation_score",94.04
"59024","zcta",2019,"transportation_score",101.34
"59025","zcta",2019,"transportation_score",NA
"59026","zcta",2019,"transportation_score",101.71
"59027","zcta",2019,"transportation_score",100.13
"59028","zcta",2019,"transportation_score",104.49
"59029","zcta",2019,"transportation_score",93.59
"59030","zcta",2019,"transportation_score",99.25
"59031","zcta",2019,"transportation_score",93.68
"59032","zcta",2019,"transportation_score",105.53
"59033","zcta",2019,"transportation_score",105.33
"59034","zcta",2019,"transportation_score",99.32
"59035","zcta",2019,"transportation_score",105.52
"59036","zcta",2019,"transportation_score",106.35
"59037","zcta",2019,"transportation_score",91.63
"59038","zcta",2019,"transportation_score",95.95
"59039","zcta",2019,"transportation_score",NA
"59041","zcta",2019,"transportation_score",93
"59043","zcta",2019,"transportation_score",96.5
"59044","zcta",2019,"transportation_score",113.91
"59046","zcta",2019,"transportation_score",105.58
"59047","zcta",2019,"transportation_score",109.27
"59050","zcta",2019,"transportation_score",95.37
"59052","zcta",2019,"transportation_score",116.3
"59053","zcta",2019,"transportation_score",126.83
"59054","zcta",2019,"transportation_score",98.76
"59055","zcta",2019,"transportation_score",NA
"59057","zcta",2019,"transportation_score",90.89
"59058","zcta",2019,"transportation_score",NA
"59059","zcta",2019,"transportation_score",104.04
"59061","zcta",2019,"transportation_score",100.37
"59062","zcta",2019,"transportation_score",NA
"59063","zcta",2019,"transportation_score",92.1
"59064","zcta",2019,"transportation_score",85.75
