"geoid","geolevel","year","level","value"
"27006","zcta",2019,"transportation_score",112.27
"27007","zcta",2019,"transportation_score",91.83
"27009","zcta",2019,"transportation_score",91.89
"27011","zcta",2019,"transportation_score",93.03
"27012","zcta",2019,"transportation_score",112.84
"27013","zcta",2019,"transportation_score",92.06
"27014","zcta",2019,"transportation_score",96.12
"27016","zcta",2019,"transportation_score",90.72
"27017","zcta",2019,"transportation_score",90.49
"27018","zcta",2019,"transportation_score",92.17
"27019","zcta",2019,"transportation_score",90.44
"27020","zcta",2019,"transportation_score",93.29
"27021","zcta",2019,"transportation_score",112.04
"27022","zcta",2019,"transportation_score",96.56
"27023","zcta",2019,"transportation_score",112.19
"27024","zcta",2019,"transportation_score",89.95
"27025","zcta",2019,"transportation_score",90.48
"27027","zcta",2019,"transportation_score",95.51
"27028","zcta",2019,"transportation_score",114.68
"27030","zcta",2019,"transportation_score",92.29
"27040","zcta",2019,"transportation_score",112.51
"27041","zcta",2019,"transportation_score",92.86
"27042","zcta",2019,"transportation_score",87.45
"27043","zcta",2019,"transportation_score",90.92
"27045","zcta",2019,"transportation_score",91.14
"27046","zcta",2019,"transportation_score",89.6
"27047","zcta",2019,"transportation_score",91.02
"27048","zcta",2019,"transportation_score",92.66
"27050","zcta",2019,"transportation_score",91.23
"27051","zcta",2019,"transportation_score",92.59
"27052","zcta",2019,"transportation_score",90.55
"27053","zcta",2019,"transportation_score",89.8
"27054","zcta",2019,"transportation_score",89.45
"27055","zcta",2019,"transportation_score",91.84
"27101","zcta",2019,"transportation_score",121.02
"27103","zcta",2019,"transportation_score",114.88
"27104","zcta",2019,"transportation_score",114.19
"27105","zcta",2019,"transportation_score",118.37
"27106","zcta",2019,"transportation_score",114.64
"27107","zcta",2019,"transportation_score",114.93
"27109","zcta",2019,"transportation_score",NA
"27110","zcta",2019,"transportation_score",NA
"27127","zcta",2019,"transportation_score",114.12
"27201","zcta",2019,"transportation_score",NA
"27203","zcta",2019,"transportation_score",94.18
"27205","zcta",2019,"transportation_score",90.95
"27207","zcta",2019,"transportation_score",90.86
"27208","zcta",2019,"transportation_score",91.09
"27209","zcta",2019,"transportation_score",91.29
