"geoid","geolevel","year","level","value"
"37010","zcta",2019,"transportation_score",91.08
"37012","zcta",2019,"transportation_score",90.78
"37013","zcta",2019,"transportation_score",117.12
"37014","zcta",2019,"transportation_score",92.47
"37015","zcta",2019,"transportation_score",92.16
"37016","zcta",2019,"transportation_score",91.28
"37018","zcta",2019,"transportation_score",90.48
"37019","zcta",2019,"transportation_score",90.3
"37020","zcta",2019,"transportation_score",91.11
"37022","zcta",2019,"transportation_score",91.26
"37023","zcta",2019,"transportation_score",89.28
"37025","zcta",2019,"transportation_score",94.5
"37026","zcta",2019,"transportation_score",89.37
"37027","zcta",2019,"transportation_score",115.94
"37028","zcta",2019,"transportation_score",92.15
"37029","zcta",2019,"transportation_score",92.5
"37030","zcta",2019,"transportation_score",91.63
"37031","zcta",2019,"transportation_score",91.06
"37032","zcta",2019,"transportation_score",90.66
"37033","zcta",2019,"transportation_score",92.9
"37034","zcta",2019,"transportation_score",89.59
"37035","zcta",2019,"transportation_score",91.64
"37036","zcta",2019,"transportation_score",93.79
"37037","zcta",2019,"transportation_score",93.56
"37040","zcta",2019,"transportation_score",114.03
"37042","zcta",2019,"transportation_score",113.8
"37043","zcta",2019,"transportation_score",112.39
"37046","zcta",2019,"transportation_score",92.81
"37047","zcta",2019,"transportation_score",91.21
"37048","zcta",2019,"transportation_score",91.98
"37049","zcta",2019,"transportation_score",92.71
"37050","zcta",2019,"transportation_score",100.44
"37051","zcta",2019,"transportation_score",90.14
"37052","zcta",2019,"transportation_score",90.71
"37055","zcta",2019,"transportation_score",90.74
"37057","zcta",2019,"transportation_score",87.58
"37058","zcta",2019,"transportation_score",91.64
"37059","zcta",2019,"transportation_score",91.37
"37060","zcta",2019,"transportation_score",91.45
"37061","zcta",2019,"transportation_score",93.77
"37062","zcta",2019,"transportation_score",92.64
"37064","zcta",2019,"transportation_score",117.03
"37066","zcta",2019,"transportation_score",116.3
"37067","zcta",2019,"transportation_score",116.5
"37069","zcta",2019,"transportation_score",116.62
"37072","zcta",2019,"transportation_score",116.85
"37073","zcta",2019,"transportation_score",90.77
"37074","zcta",2019,"transportation_score",92.53
"37075","zcta",2019,"transportation_score",115.64
"37076","zcta",2019,"transportation_score",117.5
"37078","zcta",2019,"transportation_score",91.15
"37079","zcta",2019,"transportation_score",90.62
"37080","zcta",2019,"transportation_score",92.76
"37082","zcta",2019,"transportation_score",92.78
"37083","zcta",2019,"transportation_score",92.1
"37085","zcta",2019,"transportation_score",93.48
"37086","zcta",2019,"transportation_score",115.71
"37087","zcta",2019,"transportation_score",92.76
"37090","zcta",2019,"transportation_score",91.53
"37091","zcta",2019,"transportation_score",92.86
"37095","zcta",2019,"transportation_score",89.99
"37096","zcta",2019,"transportation_score",92.35
"37097","zcta",2019,"transportation_score",98.02
"37098","zcta",2019,"transportation_score",92.04
"37101","zcta",2019,"transportation_score",91.95
"37110","zcta",2019,"transportation_score",92.83
"37115","zcta",2019,"transportation_score",121.27
"37118","zcta",2019,"transportation_score",92.13
"37122","zcta",2019,"transportation_score",116.97
"37127","zcta",2019,"transportation_score",92.38
"37128","zcta",2019,"transportation_score",106.31
"37129","zcta",2019,"transportation_score",106.66
"37130","zcta",2019,"transportation_score",107.34
"37132","zcta",2019,"transportation_score",NA
"37134","zcta",2019,"transportation_score",91.27
"37135","zcta",2019,"transportation_score",92.08
"37137","zcta",2019,"transportation_score",93.19
"37138","zcta",2019,"transportation_score",116.16
"37140","zcta",2019,"transportation_score",NA
"37141","zcta",2019,"transportation_score",90.45
"37142","zcta",2019,"transportation_score",91.14
"37143","zcta",2019,"transportation_score",91.26
"37144","zcta",2019,"transportation_score",91.54
"37145","zcta",2019,"transportation_score",92.74
"37146","zcta",2019,"transportation_score",93.25
"37148","zcta",2019,"transportation_score",92.23
"37149","zcta",2019,"transportation_score",90.14
"37150","zcta",2019,"transportation_score",94.23
"37151","zcta",2019,"transportation_score",87.97
"37153","zcta",2019,"transportation_score",91.83
"37160","zcta",2019,"transportation_score",93.46
"37165","zcta",2019,"transportation_score",NA
"37166","zcta",2019,"transportation_score",92.3
"37167","zcta",2019,"transportation_score",115.94
"37171","zcta",2019,"transportation_score",92.37
"37172","zcta",2019,"transportation_score",92.77
"37174","zcta",2019,"transportation_score",91.92
"37175","zcta",2019,"transportation_score",88.39
"37178","zcta",2019,"transportation_score",94.85
"37179","zcta",2019,"transportation_score",92.3
"37180","zcta",2019,"transportation_score",93.17
"37181","zcta",2019,"transportation_score",91.7
"37183","zcta",2019,"transportation_score",92.79
"37184","zcta",2019,"transportation_score",89.71
"37185","zcta",2019,"transportation_score",90.71
"37186","zcta",2019,"transportation_score",92.72
"37187","zcta",2019,"transportation_score",94.67
"37188","zcta",2019,"transportation_score",90.55
"37189","zcta",2019,"transportation_score",91.88
"37190","zcta",2019,"transportation_score",92.02
"37191","zcta",2019,"transportation_score",90.12
"37201","zcta",2019,"transportation_score",NA
"37203","zcta",2019,"transportation_score",124.57
"37204","zcta",2019,"transportation_score",118.38
"37205","zcta",2019,"transportation_score",117.71
"37206","zcta",2019,"transportation_score",122.98
"37207","zcta",2019,"transportation_score",121.93
"37208","zcta",2019,"transportation_score",127.02
"37209","zcta",2019,"transportation_score",120.22
"37210","zcta",2019,"transportation_score",123.97
"37211","zcta",2019,"transportation_score",118.87
"37212","zcta",2019,"transportation_score",126.28
"37213","zcta",2019,"transportation_score",NA
"37214","zcta",2019,"transportation_score",116.97
"37215","zcta",2019,"transportation_score",116.64
"37216","zcta",2019,"transportation_score",119.22
"37217","zcta",2019,"transportation_score",120.63
"37218","zcta",2019,"transportation_score",119.82
"37219","zcta",2019,"transportation_score",108.88
"37220","zcta",2019,"transportation_score",116.62
