"geoid","geolevel","year","level","value"
"24701","zcta",2019,"transportation_score",93.46
"24712","zcta",2019,"transportation_score",100.97
"24714","zcta",2019,"transportation_score",108.66
"24715","zcta",2019,"transportation_score",92.97
"24716","zcta",2019,"transportation_score",87.1
"24719","zcta",2019,"transportation_score",NA
"24724","zcta",2019,"transportation_score",82.94
"24726","zcta",2019,"transportation_score",90.74
"24729","zcta",2019,"transportation_score",86
"24731","zcta",2019,"transportation_score",85.12
"24733","zcta",2019,"transportation_score",91.95
"24736","zcta",2019,"transportation_score",97.08
"24737","zcta",2019,"transportation_score",84.2
"24738","zcta",2019,"transportation_score",90.93
"24740","zcta",2019,"transportation_score",92.8
"24747","zcta",2019,"transportation_score",90.24
"24801","zcta",2019,"transportation_score",92.19
"24808","zcta",2019,"transportation_score",93.28
"24811","zcta",2019,"transportation_score",87.45
"24813","zcta",2019,"transportation_score",130.37
"24815","zcta",2019,"transportation_score",87.85
"24816","zcta",2019,"transportation_score",107.51
"24817","zcta",2019,"transportation_score",89.03
"24818","zcta",2019,"transportation_score",92.52
"24822","zcta",2019,"transportation_score",93.66
"24823","zcta",2019,"transportation_score",98.18
"24826","zcta",2019,"transportation_score",NA
"24827","zcta",2019,"transportation_score",93.07
"24828","zcta",2019,"transportation_score",92.58
"24830","zcta",2019,"transportation_score",89.63
"24831","zcta",2019,"transportation_score",85.82
"24834","zcta",2019,"transportation_score",87.63
"24836","zcta",2019,"transportation_score",90.11
"24839","zcta",2019,"transportation_score",93.38
"24843","zcta",2019,"transportation_score",NA
"24844","zcta",2019,"transportation_score",89.26
"24845","zcta",2019,"transportation_score",86.55
"24846","zcta",2019,"transportation_score",NA
"24847","zcta",2019,"transportation_score",95.33
"24848","zcta",2019,"transportation_score",99.27
"24849","zcta",2019,"transportation_score",90.08
"24850","zcta",2019,"transportation_score",87.52
"24851","zcta",2019,"transportation_score",94.19
"24853","zcta",2019,"transportation_score",87.9
"24854","zcta",2019,"transportation_score",105.84
"24857","zcta",2019,"transportation_score",87.87
"24860","zcta",2019,"transportation_score",90.75
"24861","zcta",2019,"transportation_score",98.81
"24862","zcta",2019,"transportation_score",91.4
"24866","zcta",2019,"transportation_score",90.2
"24867","zcta",2019,"transportation_score",95.27
"24868","zcta",2019,"transportation_score",94.25
"24869","zcta",2019,"transportation_score",86.78
"24870","zcta",2019,"transportation_score",94.96
"24871","zcta",2019,"transportation_score",84.15
"24872","zcta",2019,"transportation_score",87.1
"24873","zcta",2019,"transportation_score",91.79
"24874","zcta",2019,"transportation_score",90.67
"24878","zcta",2019,"transportation_score",127.89
"24879","zcta",2019,"transportation_score",86.71
"24880","zcta",2019,"transportation_score",95.11
"24881","zcta",2019,"transportation_score",86.19
"24882","zcta",2019,"transportation_score",87.11
"24884","zcta",2019,"transportation_score",101.6
"24887","zcta",2019,"transportation_score",NA
