"geoid","geolevel","year","level","value"
"28001","county",2023,"transportation_score",107.47
"28003","county",2023,"transportation_score",90.95
"28005","county",2023,"transportation_score",91.98
"28007","county",2023,"transportation_score",90.61
"28009","county",2023,"transportation_score",85.27
"28011","county",2023,"transportation_score",111.32
"28013","county",2023,"transportation_score",87.86
"28015","county",2023,"transportation_score",88.87
"28017","county",2023,"transportation_score",99.78
"28019","county",2023,"transportation_score",91.5
"28021","county",2023,"transportation_score",93.84
"28023","county",2023,"transportation_score",88.76
"28025","county",2023,"transportation_score",89.53
"28027","county",2023,"transportation_score",116.42
"28029","county",2023,"transportation_score",107.36
"28031","county",2023,"transportation_score",91.26
"28033","county",2023,"transportation_score",99.6
"28035","county",2023,"transportation_score",107.51
"28037","county",2023,"transportation_score",83.32
"28039","county",2023,"transportation_score",86.88
"28041","county",2023,"transportation_score",95.53
"28043","county",2023,"transportation_score",87.46
"28045","county",2023,"transportation_score",104.74
"28047","county",2023,"transportation_score",108.03
"28049","county",2023,"transportation_score",105.14
"28051","county",2023,"transportation_score",95.63
"28053","county",2023,"transportation_score",106.3
"28055","county",2023,"transportation_score",92.16
"28057","county",2023,"transportation_score",85.06
"28059","county",2023,"transportation_score",101.13
"28061","county",2023,"transportation_score",89.73
"28063","county",2023,"transportation_score",88.15
"28065","county",2023,"transportation_score",87.57
"28067","county",2023,"transportation_score",106.97
"28069","county",2023,"transportation_score",89.05
"28071","county",2023,"transportation_score",109.47
"28073","county",2023,"transportation_score",103.68
"28075","county",2023,"transportation_score",94.31
"28077","county",2023,"transportation_score",83.35
"28079","county",2023,"transportation_score",90.23
"28081","county",2023,"transportation_score",87.82
"28083","county",2023,"transportation_score",95.47
"28085","county",2023,"transportation_score",88.14
"28087","county",2023,"transportation_score",88.09
"28089","county",2023,"transportation_score",101.49
"28091","county",2023,"transportation_score",85.95
"28093","county",2023,"transportation_score",84.15
"28095","county",2023,"transportation_score",88.17
"28097","county",2023,"transportation_score",91.28
"28099","county",2023,"transportation_score",91.36
"28101","county",2023,"transportation_score",88.14
"28103","county",2023,"transportation_score",89.44
"28105","county",2023,"transportation_score",92.56
"28107","county",2023,"transportation_score",83.75
"28109","county",2023,"transportation_score",89.79
"28111","county",2023,"transportation_score",87.24
"28113","county",2023,"transportation_score",92.75
"28115","county",2023,"transportation_score",83.24
"28117","county",2023,"transportation_score",85.61
"28119","county",2023,"transportation_score",91.12
"28121","county",2023,"transportation_score",98.05
"28123","county",2023,"transportation_score",90.5
"28125","county",2023,"transportation_score",96.62
"28127","county",2023,"transportation_score",91.78
"28129","county",2023,"transportation_score",90.39
"28131","county",2023,"transportation_score",84.44
"28133","county",2023,"transportation_score",93.23
"28135","county",2023,"transportation_score",92.81
"28137","county",2023,"transportation_score",82.71
"28139","county",2023,"transportation_score",86.93
"28141","county",2023,"transportation_score",84.21
"28143","county",2023,"transportation_score",90.16
"28145","county",2023,"transportation_score",82.06
"28147","county",2023,"transportation_score",86.47
"28149","county",2023,"transportation_score",88.3
"28151","county",2023,"transportation_score",96.14
"28153","county",2023,"transportation_score",90.13
"28155","county",2023,"transportation_score",84.4
"28157","county",2023,"transportation_score",93.66
"28159","county",2023,"transportation_score",90.06
"28161","county",2023,"transportation_score",87.27
"28163","county",2023,"transportation_score",93.04
"28001","county",2023,"transportation_rnk",79.4521
"28003","county",2023,"transportation_rnk",30.6663
"28005","county",2023,"transportation_rnk",36.1768
"28007","county",2023,"transportation_rnk",29.1096
"28009","county",2023,"transportation_rnk",5.0125
"28011","county",2023,"transportation_rnk",86.8306
"28013","county",2023,"transportation_rnk",14.3213
"28015","county",2023,"transportation_rnk",19.0535
"28017","county",2023,"transportation_rnk",61.8618
"28019","county",2023,"transportation_rnk",33.8107
"28021","county",2023,"transportation_rnk",45.2989
"28023","county",2023,"transportation_rnk",18.7111
"28025","county",2023,"transportation_rnk",22.9452
"28027","county",2023,"transportation_rnk",92.3724
"28029","county",2023,"transportation_rnk",79.0473
"28031","county",2023,"transportation_rnk",32.6899
"28033","county",2023,"transportation_rnk",61.457
"28035","county",2023,"transportation_rnk",79.5455
"28037","county",2023,"transportation_rnk",1.6189
"28039","county",2023,"transportation_rnk",9.6513
"28041","county",2023,"transportation_rnk",51.868
"28043","county",2023,"transportation_rnk",12.4222
"28045","county",2023,"transportation_rnk",72.9452
"28047","county",2023,"transportation_rnk",80.6351
"28049","county",2023,"transportation_rnk",73.9103
"28051","county",2023,"transportation_rnk",52.2416
"28053","county",2023,"transportation_rnk",76.7123
"28055","county",2023,"transportation_rnk",36.924
"28057","county",2023,"transportation_rnk",4.4832
"28059","county",2023,"transportation_rnk",64.8506
"28061","county",2023,"transportation_rnk",24.066
"28063","county",2023,"transportation_rnk",15.4421
"28065","county",2023,"transportation_rnk",12.8269
"28067","county",2023,"transportation_rnk",78.1756
"28069","county",2023,"transportation_rnk",20.0187
"28071","county",2023,"transportation_rnk",83.4994
"28073","county",2023,"transportation_rnk",70.4857
"28075","county",2023,"transportation_rnk",47.2603
"28077","county",2023,"transportation_rnk",1.6501
"28079","county",2023,"transportation_rnk",27.0859
"28081","county",2023,"transportation_rnk",14.1968
"28083","county",2023,"transportation_rnk",51.7123
"28085","county",2023,"transportation_rnk",15.3487
"28087","county",2023,"transportation_rnk",15.1619
"28089","county",2023,"transportation_rnk",65.66
"28091","county",2023,"transportation_rnk",6.8182
"28093","county",2023,"transportation_rnk",2.802
"28095","county",2023,"transportation_rnk",15.5044
"28097","county",2023,"transportation_rnk",32.8456
"28099","county",2023,"transportation_rnk",33.2814
"28101","county",2023,"transportation_rnk",15.3487
