"geoid","geolevel","year","level","value"
"33001","county",2023,"transportation_score",95.13
"33003","county",2023,"transportation_score",93.33
"33005","county",2023,"transportation_score",107.31
"33007","county",2023,"transportation_score",97.63
"33009","county",2023,"transportation_score",106.54
"33011","county",2023,"transportation_score",123.15
"33013","county",2023,"transportation_score",105.36
"33015","county",2023,"transportation_score",103.47
"33017","county",2023,"transportation_score",118.21
"33019","county",2023,"transportation_score",93
"33001","county",2023,"transportation_rnk",50.6849
"33003","county",2023,"transportation_rnk",42.7771
"33005","county",2023,"transportation_rnk",78.9539
"33007","county",2023,"transportation_rnk",57.4097
"33009","county",2023,"transportation_rnk",77.2727
"33011","county",2023,"transportation_rnk",95.6102
"33013","county",2023,"transportation_rnk",74.3773
"33015","county",2023,"transportation_rnk",70.1121
"33017","county",2023,"transportation_rnk",93.6177
"33019","county",2023,"transportation_rnk",40.8468
"33001","county",2023,"transportation_state_rnk",22.2222
"33003","county",2023,"transportation_state_rnk",11.1111
"33005","county",2023,"transportation_state_rnk",77.7778
"33007","county",2023,"transportation_state_rnk",33.3333
"33009","county",2023,"transportation_state_rnk",66.6667
"33011","county",2023,"transportation_state_rnk",100
"33013","county",2023,"transportation_state_rnk",55.5556
"33015","county",2023,"transportation_state_rnk",44.4444
"33017","county",2023,"transportation_state_rnk",88.8889
"33019","county",2023,"transportation_state_rnk",0
