"geoid","geolevel","year","level","value"
"37001020100","tract",2023,"transportation_score",96.27
"37001020200","tract",2023,"transportation_score",97.79
"37001020301","tract",2023,"transportation_score",96.68
"37001020302","tract",2023,"transportation_score",98.1
"37001020400","tract",2023,"transportation_score",92.74
"37001020501","tract",2023,"transportation_score",90.74
"37001020502","tract",2023,"transportation_score",99.1
"37001020601","tract",2023,"transportation_score",91.26
"37001020602","tract",2023,"transportation_score",93.99
"37001020701","tract",2023,"transportation_score",93.73
"37001020702","tract",2023,"transportation_score",98.09
"37001020801","tract",2023,"transportation_score",86.33
"37001020802","tract",2023,"transportation_score",98.74
"37001020901","tract",2023,"transportation_score",93.79
"37001020902","tract",2023,"transportation_score",91.43
"37001021000","tract",2023,"transportation_score",95.62
"37001021101","tract",2023,"transportation_score",94.85
"37001021102","tract",2023,"transportation_score",93.07
"37001021201","tract",2023,"transportation_score",85.89
"37001021204","tract",2023,"transportation_score",84.57
"37001021205","tract",2023,"transportation_score",95.12
"37001021206","tract",2023,"transportation_score",92.61
"37001021207","tract",2023,"transportation_score",93.56
"37001021300","tract",2023,"transportation_score",84.13
"37001021400","tract",2023,"transportation_score",82.69
"37001021500","tract",2023,"transportation_score",80.18
"37001021600","tract",2023,"transportation_score",97.44
"37001021701","tract",2023,"transportation_score",85.37
"37001021702","tract",2023,"transportation_score",88.47
"37001021703","tract",2023,"transportation_score",93.18
"37001021801","tract",2023,"transportation_score",83.75
"37001021802","tract",2023,"transportation_score",82.6
"37001021803","tract",2023,"transportation_score",86.7
"37001021901","tract",2023,"transportation_score",86.39
"37001021902","tract",2023,"transportation_score",91.75
"37001022001","tract",2023,"transportation_score",84.69
"37001022002","tract",2023,"transportation_score",85.38
"37003040100","tract",2023,"transportation_score",84.04
"37003040200","tract",2023,"transportation_score",82.92
"37003040300","tract",2023,"transportation_score",83.32
"37003040400","tract",2023,"transportation_score",87.73
"37003040500","tract",2023,"transportation_score",84.54
"37003040600","tract",2023,"transportation_score",80.82
"37003040700","tract",2023,"transportation_score",84.33
"37005950100","tract",2023,"transportation_score",89.12
"37005950200","tract",2023,"transportation_score",92.81
"37005950300","tract",2023,"transportation_score",87
"37007920100","tract",2023,"transportation_score",82.74
"37007920200","tract",2023,"transportation_score",86.82
"37007920301","tract",2023,"transportation_score",85.77
"37007920302","tract",2023,"transportation_score",80.81
"37007920400","tract",2023,"transportation_score",99.02
"37007920501","tract",2023,"transportation_score",94.92
"37007920502","tract",2023,"transportation_score",95.29
"37007920600","tract",2023,"transportation_score",91.13
"37007980000","tract",2023,"transportation_score",NA
"37009970200","tract",2023,"transportation_score",87.79
"37009970300","tract",2023,"transportation_score",93.01
"37009970400","tract",2023,"transportation_score",87.23
"37009970501","tract",2023,"transportation_score",84.96
"37009970502","tract",2023,"transportation_score",89.09
"37009970701","tract",2023,"transportation_score",86.67
"37009970702","tract",2023,"transportation_score",83.5
"37009970801","tract",2023,"transportation_score",89.29
"37009970802","tract",2023,"transportation_score",87.26
"37011930100","tract",2023,"transportation_score",91.9
"37011930200","tract",2023,"transportation_score",87.13
"37011930301","tract",2023,"transportation_score",92.57
"37011930302","tract",2023,"transportation_score",88.59
"37011930400","tract",2023,"transportation_score",NA
"37013930101","tract",2023,"transportation_score",90.53
"37013930102","tract",2023,"transportation_score",88.23
"37013930200","tract",2023,"transportation_score",83.46
"37013930300","tract",2023,"transportation_score",95.2
"37013930400","tract",2023,"transportation_score",100.46
"37013930501","tract",2023,"transportation_score",85.13
"37013930502","tract",2023,"transportation_score",85.43
"37013930600","tract",2023,"transportation_score",84.61
"37013930700","tract",2023,"transportation_score",83.88
"37013930800","tract",2023,"transportation_score",85.89
"37013930900","tract",2023,"transportation_score",86.76
"37013931001","tract",2023,"transportation_score",84.6
"37013931002","tract",2023,"transportation_score",83.35
"37015960100","tract",2023,"transportation_score",86.89
"37015960200","tract",2023,"transportation_score",89.02
"37015960300","tract",2023,"transportation_score",83.61
"37015960401","tract",2023,"transportation_score",90.19
"37015960402","tract",2023,"transportation_score",NA
"37017950101","tract",2023,"transportation_score",83.77
"37017950102","tract",2023,"transportation_score",89.55
"37017950200","tract",2023,"transportation_score",92.24
"37017950301","tract",2023,"transportation_score",89.19
"37017950302","tract",2023,"transportation_score",85.67
"37017950401","tract",2023,"transportation_score",86.48
"37017950402","tract",2023,"transportation_score",83.83
"37017950501","tract",2023,"transportation_score",82.38
"37017950502","tract",2023,"transportation_score",84.47
"37017950601","tract",2023,"transportation_score",89.51
"37017950602","tract",2023,"transportation_score",90
"37019020101","tract",2023,"transportation_score",85.74
"37019020102","tract",2023,"transportation_score",90.18
"37019020105","tract",2023,"transportation_score",98.4
"37019020106","tract",2023,"transportation_score",84.73
"37019020107","tract",2023,"transportation_score",91.97
"37019020108","tract",2023,"transportation_score",84.75
"37019020201","tract",2023,"transportation_score",93.25
"37019020203","tract",2023,"transportation_score",81.28
"37019020204","tract",2023,"transportation_score",86.87
"37019020205","tract",2023,"transportation_score",90.41
