"geoid","geolevel","year","level","value"
"44001030100","tract",2023,"transportation_score",90.25
"44001030200","tract",2023,"transportation_score",90.16
"44001030300","tract",2023,"transportation_score",88.36
"44001030400","tract",2023,"transportation_score",90.68
"44001030500","tract",2023,"transportation_score",96.02
"44001030601","tract",2023,"transportation_score",87.97
"44001030602","tract",2023,"transportation_score",92.8
"44001030700","tract",2023,"transportation_score",94.4
"44001030800","tract",2023,"transportation_score",NA
"44001030901","tract",2023,"transportation_score",84.98
"44001030902","tract",2023,"transportation_score",92.28
"44003020101","tract",2023,"transportation_score",89.97
"44003020102","tract",2023,"transportation_score",86.93
"44003020200","tract",2023,"transportation_score",93.57
"44003020300","tract",2023,"transportation_score",96.79
"44003020400","tract",2023,"transportation_score",91.91
"44003020500","tract",2023,"transportation_score",87.95
"44003020601","tract",2023,"transportation_score",85.17
"44003020602","tract",2023,"transportation_score",90.67
"44003020603","tract",2023,"transportation_score",86.71
"44003020604","tract",2023,"transportation_score",92.48
"44003020701","tract",2023,"transportation_score",83.61
"44003020702","tract",2023,"transportation_score",85.95
"44003020703","tract",2023,"transportation_score",85.52
"44003020800","tract",2023,"transportation_score",84.77
"44003020901","tract",2023,"transportation_score",93.44
"44003020903","tract",2023,"transportation_score",91.52
"44003020904","tract",2023,"transportation_score",86.14
"44003021001","tract",2023,"transportation_score",84.45
"44003021002","tract",2023,"transportation_score",90.3
"44003021100","tract",2023,"transportation_score",87.61
"44003021200","tract",2023,"transportation_score",88.27
"44003021300","tract",2023,"transportation_score",88.86
"44003021401","tract",2023,"transportation_score",88.94
"44003021402","tract",2023,"transportation_score",90.02
"44003021501","tract",2023,"transportation_score",88.26
"44003021502","tract",2023,"transportation_score",88.18
"44003021600","tract",2023,"transportation_score",91.52
"44003021700","tract",2023,"transportation_score",89.2
"44003021800","tract",2023,"transportation_score",88.87
"44003021901","tract",2023,"transportation_score",86.67
"44003021902","tract",2023,"transportation_score",88.87
"44003021903","tract",2023,"transportation_score",88.34
"44003022000","tract",2023,"transportation_score",91.38
"44003022100","tract",2023,"transportation_score",89.8
"44003022201","tract",2023,"transportation_score",87.45
"44003022202","tract",2023,"transportation_score",94.02
"44003022300","tract",2023,"transportation_score",93.09
"44003022400","tract",2023,"transportation_score",88.47
"44003980000","tract",2023,"transportation_score",NA
"44005040101","tract",2023,"transportation_score",89.6
"44005040102","tract",2023,"transportation_score",88.36
"44005040104","tract",2023,"transportation_score",86.67
"44005040105","tract",2023,"transportation_score",90.41
"44005040200","tract",2023,"transportation_score",81.94
"44005040302","tract",2023,"transportation_score",92.24
"44005040303","tract",2023,"transportation_score",87.09
"44005040304","tract",2023,"transportation_score",92.21
"44005040400","tract",2023,"transportation_score",94.52
"44005040500","tract",2023,"transportation_score",93.92
"44005040600","tract",2023,"transportation_score",104.3
"44005040700","tract",2023,"transportation_score",94.23
"44005040800","tract",2023,"transportation_score",108.44
"44005040900","tract",2023,"transportation_score",101.88
"44005041000","tract",2023,"transportation_score",116.08
"44005041100","tract",2023,"transportation_score",92.47
"44005041200","tract",2023,"transportation_score",NA
"44005041300","tract",2023,"transportation_score",89.88
"44005041400","tract",2023,"transportation_score",89.67
"44005041601","tract",2023,"transportation_score",88.72
"44005041602","tract",2023,"transportation_score",88.99
"44005041701","tract",2023,"transportation_score",90.85
"44005041702","tract",2023,"transportation_score",87.63
"44005990000","tract",2023,"transportation_score",NA
"44007000101","tract",2023,"transportation_score",106.68
"44007000102","tract",2023,"transportation_score",92.76
"44007000200","tract",2023,"transportation_score",90.32
"44007000301","tract",2023,"transportation_score",97.61
"44007000302","tract",2023,"transportation_score",97.24
"44007000400","tract",2023,"transportation_score",99.37
"44007000500","tract",2023,"transportation_score",93.13
"44007000600","tract",2023,"transportation_score",105.85
"44007000700","tract",2023,"transportation_score",109.6
"44007000800","tract",2023,"transportation_score",135.68
"44007000900","tract",2023,"transportation_score",NA
"44007001000","tract",2023,"transportation_score",101.68
"44007001100","tract",2023,"transportation_score",101.88
"44007001200","tract",2023,"transportation_score",103.98
"44007001300","tract",2023,"transportation_score",99.03
"44007001400","tract",2023,"transportation_score",99.55
"44007001500","tract",2023,"transportation_score",90.35
"44007001601","tract",2023,"transportation_score",96.48
"44007001602","tract",2023,"transportation_score",94.69
"44007001700","tract",2023,"transportation_score",92.49
"44007001800","tract",2023,"transportation_score",98.52
"44007001900","tract",2023,"transportation_score",97.98
"44007002000","tract",2023,"transportation_score",100.04
"44007002101","tract",2023,"transportation_score",96.64
"44007002102","tract",2023,"transportation_score",95.94
"44007002200","tract",2023,"transportation_score",102.13
"44007002300","tract",2023,"transportation_score",94.24
"44007002400","tract",2023,"transportation_score",100.73
"44007002500","tract",2023,"transportation_score",101.56
"44007002600","tract",2023,"transportation_score",100.42
"44007002700","tract",2023,"transportation_score",97.89
