"geoid","geolevel","year","level","value"
"71601","zcta",2023,"transportation_score",133.27
"71602","zcta",2023,"transportation_score",124.36
"71603","zcta",2023,"transportation_score",126.78
"71630","zcta",2023,"transportation_score",88.18
"71631","zcta",2023,"transportation_score",89.66
"71635","zcta",2023,"transportation_score",91.58
"71638","zcta",2023,"transportation_score",88.56
"71639","zcta",2023,"transportation_score",91.8
"71640","zcta",2023,"transportation_score",91.28
"71642","zcta",2023,"transportation_score",97.36
"71643","zcta",2023,"transportation_score",NA
"71644","zcta",2023,"transportation_score",90.12
"71646","zcta",2023,"transportation_score",90.37
"71647","zcta",2023,"transportation_score",90.15
"71651","zcta",2023,"transportation_score",NA
"71652","zcta",2023,"transportation_score",89.94
"71653","zcta",2023,"transportation_score",89.73
"71654","zcta",2023,"transportation_score",90.68
"71655","zcta",2023,"transportation_score",95.29
"71658","zcta",2023,"transportation_score",88.05
"71659","zcta",2023,"transportation_score",NA
"71660","zcta",2023,"transportation_score",88.08
"71661","zcta",2023,"transportation_score",80.59
"71662","zcta",2023,"transportation_score",NA
"71663","zcta",2023,"transportation_score",89.99
"71665","zcta",2023,"transportation_score",90.28
"71666","zcta",2023,"transportation_score",NA
"71667","zcta",2023,"transportation_score",89.05
"71670","zcta",2023,"transportation_score",87.34
"71671","zcta",2023,"transportation_score",90.06
"71674","zcta",2023,"transportation_score",89.34
"71675","zcta",2023,"transportation_score",91.41
"71676","zcta",2023,"transportation_score",94.55
"71677","zcta",2023,"transportation_score",95.99
"71678","zcta",2023,"transportation_score",NA
"71701","zcta",2023,"transportation_score",91.09
"71720","zcta",2023,"transportation_score",89.28
"71721","zcta",2023,"transportation_score",NA
"71722","zcta",2023,"transportation_score",NA
"71724","zcta",2023,"transportation_score",86.6
"71725","zcta",2023,"transportation_score",96.36
"71726","zcta",2023,"transportation_score",89.76
"71728","zcta",2023,"transportation_score",NA
"71730","zcta",2023,"transportation_score",90.44
"71740","zcta",2023,"transportation_score",87.49
"71742","zcta",2023,"transportation_score",90.45
"71743","zcta",2023,"transportation_score",92.83
"71744","zcta",2023,"transportation_score",89.83
"71745","zcta",2023,"transportation_score",NA
"71747","zcta",2023,"transportation_score",89.2
"71748","zcta",2023,"transportation_score",NA
"71749","zcta",2023,"transportation_score",88.85
"71751","zcta",2023,"transportation_score",89.81
"71752","zcta",2023,"transportation_score",91.7
"71753","zcta",2023,"transportation_score",92.12
"71758","zcta",2023,"transportation_score",NA
"71759","zcta",2023,"transportation_score",85.88
