"geoid","geolevel","year","level","value"
"06001","zcta",2023,"transportation_score",94.29
"06002","zcta",2023,"transportation_score",96.49
"06010","zcta",2023,"transportation_score",92.13
"06013","zcta",2023,"transportation_score",91.77
"06016","zcta",2023,"transportation_score",91.01
"06018","zcta",2023,"transportation_score",91.51
"06019","zcta",2023,"transportation_score",92.54
"06020","zcta",2023,"transportation_score",NA
"06021","zcta",2023,"transportation_score",90.3
"06022","zcta",2023,"transportation_score",NA
"06023","zcta",2023,"transportation_score",91.16
"06024","zcta",2023,"transportation_score",91.88
"06026","zcta",2023,"transportation_score",91.65
"06027","zcta",2023,"transportation_score",91.32
"06029","zcta",2023,"transportation_score",90.73
"06031","zcta",2023,"transportation_score",98.09
"06032","zcta",2023,"transportation_score",92.24
"06033","zcta",2023,"transportation_score",92.32
"06035","zcta",2023,"transportation_score",92.03
"06037","zcta",2023,"transportation_score",91.3
"06039","zcta",2023,"transportation_score",96.08
"06040","zcta",2023,"transportation_score",93.14
"06042","zcta",2023,"transportation_score",93.78
"06043","zcta",2023,"transportation_score",91.07
"06051","zcta",2023,"transportation_score",98.49
"06052","zcta",2023,"transportation_score",94.47
"06053","zcta",2023,"transportation_score",93.28
"06057","zcta",2023,"transportation_score",90.87
"06058","zcta",2023,"transportation_score",95.23
"06059","zcta",2023,"transportation_score",87.02
"06060","zcta",2023,"transportation_score",94.89
"06061","zcta",2023,"transportation_score",91.96
"06062","zcta",2023,"transportation_score",90.44
"06063","zcta",2023,"transportation_score",91.33
"06065","zcta",2023,"transportation_score",94.28
"06066","zcta",2023,"transportation_score",93.51
"06067","zcta",2023,"transportation_score",92.55
"06068","zcta",2023,"transportation_score",98.78
"06069","zcta",2023,"transportation_score",99.1
"06070","zcta",2023,"transportation_score",96.4
"06071","zcta",2023,"transportation_score",90.7
"06072","zcta",2023,"transportation_score",NA
"06073","zcta",2023,"transportation_score",91.94
"06074","zcta",2023,"transportation_score",93.19
"06076","zcta",2023,"transportation_score",89.59
"06078","zcta",2023,"transportation_score",91.1
"06079","zcta",2023,"transportation_score",NA
"06080","zcta",2023,"transportation_score",NA
"06081","zcta",2023,"transportation_score",90.85
"06082","zcta",2023,"transportation_score",91.31
"06084","zcta",2023,"transportation_score",91.11
"06085","zcta",2023,"transportation_score",92.56
"06088","zcta",2023,"transportation_score",92.51
"06089","zcta",2023,"transportation_score",94.2
"06090","zcta",2023,"transportation_score",91
"06091","zcta",2023,"transportation_score",86.35
"06092","zcta",2023,"transportation_score",92.53
"06093","zcta",2023,"transportation_score",92.65
"06095","zcta",2023,"transportation_score",93.68
"06096","zcta",2023,"transportation_score",92.19
"06098","zcta",2023,"transportation_score",91.21
