"geoid","geolevel","year","level","value"
"38601","zcta",2023,"transportation_score",87.94
"38603","zcta",2023,"transportation_score",88.92
"38606","zcta",2023,"transportation_score",89.22
"38610","zcta",2023,"transportation_score",92.14
"38611","zcta",2023,"transportation_score",91.09
"38614","zcta",2023,"transportation_score",133.09
"38617","zcta",2023,"transportation_score",89.33
"38618","zcta",2023,"transportation_score",89.23
"38619","zcta",2023,"transportation_score",89.14
"38620","zcta",2023,"transportation_score",88.48
"38621","zcta",2023,"transportation_score",90.62
"38622","zcta",2023,"transportation_score",90.87
"38623","zcta",2023,"transportation_score",84.49
"38625","zcta",2023,"transportation_score",90.08
"38626","zcta",2023,"transportation_score",90.71
"38627","zcta",2023,"transportation_score",87.36
"38629","zcta",2023,"transportation_score",92.51
"38631","zcta",2023,"transportation_score",90.28
"38632","zcta",2023,"transportation_score",115.15
"38633","zcta",2023,"transportation_score",89.54
"38635","zcta",2023,"transportation_score",88.77
"38637","zcta",2023,"transportation_score",113.78
"38639","zcta",2023,"transportation_score",91.62
"38641","zcta",2023,"transportation_score",90.16
"38642","zcta",2023,"transportation_score",90.99
"38643","zcta",2023,"transportation_score",92.86
"38644","zcta",2023,"transportation_score",80.52
"38645","zcta",2023,"transportation_score",90.92
"38646","zcta",2023,"transportation_score",101.69
"38647","zcta",2023,"transportation_score",88.06
"38650","zcta",2023,"transportation_score",87.98
"38651","zcta",2023,"transportation_score",90.17
"38652","zcta",2023,"transportation_score",89.32
"38654","zcta",2023,"transportation_score",114.8
"38655","zcta",2023,"transportation_score",124.08
"38658","zcta",2023,"transportation_score",89.02
"38659","zcta",2023,"transportation_score",88.94
"38661","zcta",2023,"transportation_score",89.57
"38663","zcta",2023,"transportation_score",89.38
"38664","zcta",2023,"transportation_score",91.44
"38665","zcta",2023,"transportation_score",87.35
"38666","zcta",2023,"transportation_score",90.6
"38668","zcta",2023,"transportation_score",89.17
"38670","zcta",2023,"transportation_score",88.34
"38671","zcta",2023,"transportation_score",114.78
"38672","zcta",2023,"transportation_score",91.87
"38673","zcta",2023,"transportation_score",94.52
"38674","zcta",2023,"transportation_score",89.22
"38676","zcta",2023,"transportation_score",106.42
"38677","zcta",2023,"transportation_score",NA
"38680","zcta",2023,"transportation_score",89.87
