"geoid","geolevel","year","level","value"
"20105","zcta",2023,"transportation_score",94.75
"20106","zcta",2023,"transportation_score",92.83
"20109","zcta",2023,"transportation_score",93.49
"20110","zcta",2023,"transportation_score",94.71
"20111","zcta",2023,"transportation_score",95.8
"20112","zcta",2023,"transportation_score",94.74
"20115","zcta",2023,"transportation_score",91.37
"20117","zcta",2023,"transportation_score",93.84
"20119","zcta",2023,"transportation_score",92.64
"20120","zcta",2023,"transportation_score",93.25
"20121","zcta",2023,"transportation_score",94
"20124","zcta",2023,"transportation_score",93.98
"20129","zcta",2023,"transportation_score",93.4
"20130","zcta",2023,"transportation_score",90.94
"20132","zcta",2023,"transportation_score",126.05
"20135","zcta",2023,"transportation_score",93.82
"20136","zcta",2023,"transportation_score",94.36
"20137","zcta",2023,"transportation_score",92.37
"20141","zcta",2023,"transportation_score",92.78
"20143","zcta",2023,"transportation_score",89.58
"20144","zcta",2023,"transportation_score",92.15
"20147","zcta",2023,"transportation_score",95.06
"20148","zcta",2023,"transportation_score",96.14
"20151","zcta",2023,"transportation_score",95.07
"20152","zcta",2023,"transportation_score",95.42
"20155","zcta",2023,"transportation_score",93.56
"20158","zcta",2023,"transportation_score",92.52
"20164","zcta",2023,"transportation_score",93.62
"20165","zcta",2023,"transportation_score",94.67
"20166","zcta",2023,"transportation_score",93.31
"20169","zcta",2023,"transportation_score",94.29
"20170","zcta",2023,"transportation_score",96.34
"20171","zcta",2023,"transportation_score",97.82
"20175","zcta",2023,"transportation_score",94.4
"20176","zcta",2023,"transportation_score",94.05
"20180","zcta",2023,"transportation_score",95.23
"20181","zcta",2023,"transportation_score",93.11
"20184","zcta",2023,"transportation_score",98.43
"20186","zcta",2023,"transportation_score",92.3
"20187","zcta",2023,"transportation_score",93.08
"20190","zcta",2023,"transportation_score",101.75
"20191","zcta",2023,"transportation_score",99.19
"20194","zcta",2023,"transportation_score",97.61
"20197","zcta",2023,"transportation_score",96.6
"20198","zcta",2023,"transportation_score",92.11
"22003","zcta",2023,"transportation_score",96.74
"22015","zcta",2023,"transportation_score",94.92
"22025","zcta",2023,"transportation_score",95.82
"22026","zcta",2023,"transportation_score",94.87
"22027","zcta",2023,"transportation_score",93.72
"22030","zcta",2023,"transportation_score",96.2
"22031","zcta",2023,"transportation_score",101.44
"22032","zcta",2023,"transportation_score",96
"22033","zcta",2023,"transportation_score",95.19
"22035","zcta",2023,"transportation_score",NA
"22039","zcta",2023,"transportation_score",93.88
"22041","zcta",2023,"transportation_score",99.46
"22042","zcta",2023,"transportation_score",98.69
"22043","zcta",2023,"transportation_score",99.03
"22044","zcta",2023,"transportation_score",104.66
"22046","zcta",2023,"transportation_score",99.25
"22060","zcta",2023,"transportation_score",96.58
"22066","zcta",2023,"transportation_score",95.81
"22079","zcta",2023,"transportation_score",96.33
"22101","zcta",2023,"transportation_score",96.57
"22102","zcta",2023,"transportation_score",97.78
"22124","zcta",2023,"transportation_score",96.49
"22125","zcta",2023,"transportation_score",96.01
"22134","zcta",2023,"transportation_score",NA
"22150","zcta",2023,"transportation_score",98.58
"22151","zcta",2023,"transportation_score",96.47
"22152","zcta",2023,"transportation_score",98.86
"22153","zcta",2023,"transportation_score",95.19
"22172","zcta",2023,"transportation_score",92.34
"22180","zcta",2023,"transportation_score",98.85
"22181","zcta",2023,"transportation_score",99.14
"22182","zcta",2023,"transportation_score",97.21
"22191","zcta",2023,"transportation_score",94.19
"22192","zcta",2023,"transportation_score",95.34
"22193","zcta",2023,"transportation_score",94.06
"22201","zcta",2023,"transportation_score",114.29
"22202","zcta",2023,"transportation_score",114.83
"22203","zcta",2023,"transportation_score",109.74
"22204","zcta",2023,"transportation_score",103.95
"22205","zcta",2023,"transportation_score",101.19
"22206","zcta",2023,"transportation_score",100.76
"22207","zcta",2023,"transportation_score",99.31
"22209","zcta",2023,"transportation_score",117.26
"22211","zcta",2023,"transportation_score",NA
"22213","zcta",2023,"transportation_score",100.4
"22214","zcta",2023,"transportation_score",NA
"22301","zcta",2023,"transportation_score",103.41
"22302","zcta",2023,"transportation_score",101.54
"22303","zcta",2023,"transportation_score",103.85
"22304","zcta",2023,"transportation_score",100.67
"22305","zcta",2023,"transportation_score",110.44
"22306","zcta",2023,"transportation_score",101.79
"22307","zcta",2023,"transportation_score",95.54
"22308","zcta",2023,"transportation_score",94.49
"22309","zcta",2023,"transportation_score",99.57
"22310","zcta",2023,"transportation_score",98.23
"22311","zcta",2023,"transportation_score",104.2
"22312","zcta",2023,"transportation_score",99.83
"22314","zcta",2023,"transportation_score",104.76
"22315","zcta",2023,"transportation_score",97.85
"22401","zcta",2023,"transportation_score",119.43
"22405","zcta",2023,"transportation_score",117.73
"22406","zcta",2023,"transportation_score",116.12
"22407","zcta",2023,"transportation_score",116.63
"22408","zcta",2023,"transportation_score",120.12
"22427","zcta",2023,"transportation_score",97.23
"22432","zcta",2023,"transportation_score",80.89
"22433","zcta",2023,"transportation_score",93.15
"22435","zcta",2023,"transportation_score",94.06
"22436","zcta",2023,"transportation_score",93.58
"22437","zcta",2023,"transportation_score",98.72
"22438","zcta",2023,"transportation_score",88.92
"22443","zcta",2023,"transportation_score",90.83
"22448","zcta",2023,"transportation_score",96.42
"22454","zcta",2023,"transportation_score",89.37
"22460","zcta",2023,"transportation_score",94.16
"22469","zcta",2023,"transportation_score",92.58
"22472","zcta",2023,"transportation_score",NA
"22473","zcta",2023,"transportation_score",93.16
"22476","zcta",2023,"transportation_score",85.66
"22480","zcta",2023,"transportation_score",92.04
"22482","zcta",2023,"transportation_score",90.09
"22485","zcta",2023,"transportation_score",92.15
"22488","zcta",2023,"transportation_score",95.98
"22503","zcta",2023,"transportation_score",91.08
"22504","zcta",2023,"transportation_score",88.59
"22508","zcta",2023,"transportation_score",92.36
"22509","zcta",2023,"transportation_score",85.78
"22511","zcta",2023,"transportation_score",90.74
"22514","zcta",2023,"transportation_score",91
"22520","zcta",2023,"transportation_score",92.21
"22529","zcta",2023,"transportation_score",93.43
"22534","zcta",2023,"transportation_score",91.03
"22535","zcta",2023,"transportation_score",90.3
"22538","zcta",2023,"transportation_score",94.89
"22539","zcta",2023,"transportation_score",89.94
"22542","zcta",2023,"transportation_score",90.67
"22546","zcta",2023,"transportation_score",91.07
"22548","zcta",2023,"transportation_score",NA
"22551","zcta",2023,"transportation_score",94.07
"22553","zcta",2023,"transportation_score",91.49
"22554","zcta",2023,"transportation_score",93.78
"22556","zcta",2023,"transportation_score",94.02
"22560","zcta",2023,"transportation_score",91.92
"22567","zcta",2023,"transportation_score",93.32
"22572","zcta",2023,"transportation_score",90.36
"22576","zcta",2023,"transportation_score",89.52
"22578","zcta",2023,"transportation_score",93.13
"22580","zcta",2023,"transportation_score",91.43
"22601","zcta",2023,"transportation_score",122.79
"22602","zcta",2023,"transportation_score",120.23
"22603","zcta",2023,"transportation_score",90.56
"22610","zcta",2023,"transportation_score",92.34
"22611","zcta",2023,"transportation_score",92.47
"22620","zcta",2023,"transportation_score",91.36
"22623","zcta",2023,"transportation_score",89.25
"22624","zcta",2023,"transportation_score",87.79
"22625","zcta",2023,"transportation_score",91.56
"22627","zcta",2023,"transportation_score",96.67
"22630","zcta",2023,"transportation_score",92.2
"22637","zcta",2023,"transportation_score",89.22
"22639","zcta",2023,"transportation_score",88.96
"22640","zcta",2023,"transportation_score",87.04
"22641","zcta",2023,"transportation_score",84.22
"22642","zcta",2023,"transportation_score",90.79
"22643","zcta",2023,"transportation_score",85.37
"22644","zcta",2023,"transportation_score",91.08
"22645","zcta",2023,"transportation_score",90.56
"22646","zcta",2023,"transportation_score",NA
"22650","zcta",2023,"transportation_score",89.58
"22652","zcta",2023,"transportation_score",90.39
"22654","zcta",2023,"transportation_score",89.73
"22655","zcta",2023,"transportation_score",120.47
"22656","zcta",2023,"transportation_score",92.69
"22657","zcta",2023,"transportation_score",91.04
"22660","zcta",2023,"transportation_score",92.05
"22663","zcta",2023,"transportation_score",95.62
"22664","zcta",2023,"transportation_score",94.84
"22701","zcta",2023,"transportation_score",92.42
"22709","zcta",2023,"transportation_score",90.85
"22711","zcta",2023,"transportation_score",81.62
"22712","zcta",2023,"transportation_score",90.84
"22713","zcta",2023,"transportation_score",89.81
"22714","zcta",2023,"transportation_score",89.76
"22715","zcta",2023,"transportation_score",92.3
"22716","zcta",2023,"transportation_score",93.23
"22718","zcta",2023,"transportation_score",90.34
"22719","zcta",2023,"transportation_score",90.33
"22720","zcta",2023,"transportation_score",94.88
"22722","zcta",2023,"transportation_score",90.13
"22723","zcta",2023,"transportation_score",NA
"22724","zcta",2023,"transportation_score",93.56
"22725","zcta",2023,"transportation_score",NA
"22726","zcta",2023,"transportation_score",91.69
"22727","zcta",2023,"transportation_score",91.66
"22728","zcta",2023,"transportation_score",92.5
"22729","zcta",2023,"transportation_score",NA
"22730","zcta",2023,"transportation_score",90.42
"22731","zcta",2023,"transportation_score",85.34
"22732","zcta",2023,"transportation_score",93.31
"22733","zcta",2023,"transportation_score",92.56
"22734","zcta",2023,"transportation_score",90.54
"22735","zcta",2023,"transportation_score",94.43
"22736","zcta",2023,"transportation_score",86.62
"22737","zcta",2023,"transportation_score",89.94
"22738","zcta",2023,"transportation_score",90.62
"22740","zcta",2023,"transportation_score",91.66
"22741","zcta",2023,"transportation_score",92.62
"22742","zcta",2023,"transportation_score",90.2
"22743","zcta",2023,"transportation_score",92.57
"22746","zcta",2023,"transportation_score",87.56
"22747","zcta",2023,"transportation_score",92.37
"22749","zcta",2023,"transportation_score",96.77
"22801","zcta",2023,"transportation_score",125.09
"22802","zcta",2023,"transportation_score",126.51
"22807","zcta",2023,"transportation_score",NA
"22810","zcta",2023,"transportation_score",89.62
"22811","zcta",2023,"transportation_score",87.01
"22812","zcta",2023,"transportation_score",95.27
"22815","zcta",2023,"transportation_score",89.55
"22820","zcta",2023,"transportation_score",90.67
"22821","zcta",2023,"transportation_score",91.75
"22824","zcta",2023,"transportation_score",91.3
"22827","zcta",2023,"transportation_score",91.31
"22830","zcta",2023,"transportation_score",89.92
"22831","zcta",2023,"transportation_score",90.78
"22832","zcta",2023,"transportation_score",90.95
"22834","zcta",2023,"transportation_score",87.84
"22835","zcta",2023,"transportation_score",93.11
"22840","zcta",2023,"transportation_score",95.54
"22841","zcta",2023,"transportation_score",90.48
"22842","zcta",2023,"transportation_score",91.65
"22843","zcta",2023,"transportation_score",93.7
"22844","zcta",2023,"transportation_score",91.16
"22845","zcta",2023,"transportation_score",NA
"22846","zcta",2023,"transportation_score",89.92
"22847","zcta",2023,"transportation_score",90.66
"22849","zcta",2023,"transportation_score",90.71
"22850","zcta",2023,"transportation_score",92.96
"22851","zcta",2023,"transportation_score",92.5
"22853","zcta",2023,"transportation_score",90.37
"22901","zcta",2023,"transportation_score",118.08
"22902","zcta",2023,"transportation_score",118.17
"22903","zcta",2023,"transportation_score",123.27
"22904","zcta",2023,"transportation_score",NA
"22908","zcta",2023,"transportation_score",NA
"22911","zcta",2023,"transportation_score",113.96
"22920","zcta",2023,"transportation_score",92.67
"22922","zcta",2023,"transportation_score",95.58
"22923","zcta",2023,"transportation_score",92.91
"22931","zcta",2023,"transportation_score",96.77
"22932","zcta",2023,"transportation_score",93.6
"22935","zcta",2023,"transportation_score",93.81
"22936","zcta",2023,"transportation_score",92.33
"22937","zcta",2023,"transportation_score",92.3
"22938","zcta",2023,"transportation_score",93.74
"22939","zcta",2023,"transportation_score",91.8
"22940","zcta",2023,"transportation_score",95.31
"22942","zcta",2023,"transportation_score",91.48
"22943","zcta",2023,"transportation_score",102.29
"22946","zcta",2023,"transportation_score",90.61
"22947","zcta",2023,"transportation_score",92.76
"22948","zcta",2023,"transportation_score",NA
"22949","zcta",2023,"transportation_score",93.48
"22952","zcta",2023,"transportation_score",90.55
"22957","zcta",2023,"transportation_score",NA
