"geoid","geolevel","year","level","value"
"98001","zcta",2023,"transportation_score",144.35
"98002","zcta",2023,"transportation_score",144.75
"98003","zcta",2023,"transportation_score",155.56
"98004","zcta",2023,"transportation_score",164.51
"98005","zcta",2023,"transportation_score",152.4
"98006","zcta",2023,"transportation_score",148.21
"98007","zcta",2023,"transportation_score",156.93
"98008","zcta",2023,"transportation_score",145.95
"98010","zcta",2023,"transportation_score",94.05
"98011","zcta",2023,"transportation_score",147.31
"98012","zcta",2023,"transportation_score",152.97
"98014","zcta",2023,"transportation_score",94.31
"98019","zcta",2023,"transportation_score",143.44
"98020","zcta",2023,"transportation_score",146.17
"98021","zcta",2023,"transportation_score",150.58
"98022","zcta",2023,"transportation_score",141.07
"98023","zcta",2023,"transportation_score",151.19
"98024","zcta",2023,"transportation_score",95.01
"98025","zcta",2023,"transportation_score",NA
"98026","zcta",2023,"transportation_score",146.78
"98027","zcta",2023,"transportation_score",148.87
"98028","zcta",2023,"transportation_score",150.83
"98029","zcta",2023,"transportation_score",148
"98030","zcta",2023,"transportation_score",153.05
"98031","zcta",2023,"transportation_score",146.55
"98032","zcta",2023,"transportation_score",154.94
"98033","zcta",2023,"transportation_score",151.79
"98034","zcta",2023,"transportation_score",154.27
"98036","zcta",2023,"transportation_score",157.53
"98037","zcta",2023,"transportation_score",148.59
"98038","zcta",2023,"transportation_score",141.12
"98039","zcta",2023,"transportation_score",95.05
"98040","zcta",2023,"transportation_score",148.22
"98042","zcta",2023,"transportation_score",144.51
"98043","zcta",2023,"transportation_score",147.03
"98045","zcta",2023,"transportation_score",106.17
"98047","zcta",2023,"transportation_score",94.27
"98050","zcta",2023,"transportation_score",NA
"98051","zcta",2023,"transportation_score",93.93
"98052","zcta",2023,"transportation_score",165.96
"98053","zcta",2023,"transportation_score",145.94
"98055","zcta",2023,"transportation_score",143.87
"98056","zcta",2023,"transportation_score",146.99
"98057","zcta",2023,"transportation_score",148.72
"98058","zcta",2023,"transportation_score",145.46
"98059","zcta",2023,"transportation_score",148.39
"98065","zcta",2023,"transportation_score",103.71
"98068","zcta",2023,"transportation_score",93.23
"98070","zcta",2023,"transportation_score",98.77
"98072","zcta",2023,"transportation_score",145.07
"98074","zcta",2023,"transportation_score",146.34
"98075","zcta",2023,"transportation_score",147.59
"98077","zcta",2023,"transportation_score",139.4
"98087","zcta",2023,"transportation_score",152.18
"98092","zcta",2023,"transportation_score",146.86
"98101","zcta",2023,"transportation_score",178.89
"98102","zcta",2023,"transportation_score",190.65
"98103","zcta",2023,"transportation_score",192.15
"98104","zcta",2023,"transportation_score",190.8
"98105","zcta",2023,"transportation_score",198.85
"98106","zcta",2023,"transportation_score",161.85
"98107","zcta",2023,"transportation_score",174.48
"98108","zcta",2023,"transportation_score",162.49
"98109","zcta",2023,"transportation_score",181.41
"98110","zcta",2023,"transportation_score",107.22
"98112","zcta",2023,"transportation_score",169.88
"98115","zcta",2023,"transportation_score",185.35
"98116","zcta",2023,"transportation_score",166.56
"98117","zcta",2023,"transportation_score",160.96
"98118","zcta",2023,"transportation_score",186.1
"98119","zcta",2023,"transportation_score",175.81
"98121","zcta",2023,"transportation_score",173.45
"98122","zcta",2023,"transportation_score",207.17
"98125","zcta",2023,"transportation_score",180.06
"98126","zcta",2023,"transportation_score",157.21
"98133","zcta",2023,"transportation_score",174.61
